t(s)	a(g)
0.0000000000	-0.0000266316
0.0100000000	-0.0000265902
0.0200000000	-0.0000289736
0.0300000000	-0.0000288897
0.0400000000	0.0011924967
0.0500000000	0.0012069514
0.0600000000	0.0012142232
0.0700000000	0.0012214962
0.0800000000	0.0012359548
0.0900000000	0.0012360462
0.1000000000	0.0012433231
0.1100000000	0.0012577854
0.1200000000	0.0012650649
0.1300000000	0.0012723457
0.1400000000	0.0012868118
0.1500000000	0.0012940953
0.1600000000	0.0013013802
0.1700000000	0.0013086664
0.1800000000	0.0013159537
0.1900000000	0.0013232426
0.2000000000	0.0013377170
0.2100000000	0.0013450086
0.2200000000	0.0013523016
0.2300000000	0.0013667801
0.2400000000	0.0013668917
0.2500000000	0.0013741888
0.2600000000	0.0013814874
0.2700000000	0.0013959716
0.2800000000	0.0014032730
0.2900000000	0.0014105758
0.3000000000	0.0014178800
0.3100000000	0.0014323699
0.3200000000	0.0014324928
0.3300000000	0.0014398014
0.3400000000	0.0014542956
0.3500000000	0.0014616071
0.3600000000	0.0014761041
0.3700000000	0.0014834184
0.3800000000	0.0014979185
0.3900000000	0.0014980516
0.4000000000	0.0015053703
0.4100000000	0.0015198748
0.4200000000	0.0015271964
0.4300000000	0.0015345196
0.4400000000	0.0015418443
0.4500000000	0.0015491705
0.4600000000	0.0015636821
0.4700000000	0.0015638270
0.4800000000	0.0015783417
0.4900000000	0.0015928578
0.5000000000	0.0016001913
0.5100000000	0.0016075262
0.5200000000	0.0016148626
0.5300000000	0.0016078321
0.5400000000	0.0016008032
0.5500000000	0.0016009598
0.5600000000	0.0016011180
0.5700000000	0.0016084616
0.5800000000	0.0016229908
0.5900000000	0.0016303373
0.6000000000	0.0016520536
0.6100000000	0.0016737711
0.6200000000	0.0016883061
0.6300000000	0.0016956584
0.6400000000	0.0016958279
0.6500000000	0.0016959989
0.6600000000	0.0016961711
0.6700000000	0.0017035289
0.6800000000	0.0017037040
0.6900000000	0.0017038805
0.7000000000	0.0017040583
0.7100000000	0.0016970532
0.7200000000	0.0016900497
0.7300000000	0.0016758632
0.7400000000	0.0016544939
0.7500000000	0.0016331261
0.7600000000	0.0016333118
0.7700000000	0.0016334987
0.7800000000	0.0016336869
0.7900000000	0.0016410605
0.8000000000	0.0016556196
0.8100000000	0.0016629957
0.8200000000	0.0016703729
0.8300000000	0.0016777513
0.8400000000	0.0016851311
0.8500000000	0.0016853279
0.8600000000	0.0016783414
0.8700000000	0.0016713563
0.8800000000	0.0016571881
0.8900000000	0.0016430209
0.9000000000	0.0016360390
0.9100000000	0.0016362423
0.9200000000	0.0016723671
0.9300000000	0.0017228613
0.9400000000	0.0017949087
0.9500000000	0.0018741414
0.9600000000	0.0019605587
0.9700000000	0.0020469774
0.9800000000	0.0021405809
0.9900000000	0.0022629218
1.0000000000	0.0024283683
1.0100000000	0.0026441044
1.0200000000	0.0028311049
1.0300000000	0.0029103442
1.0400000000	0.0028387178
1.0500000000	0.0026449618
1.0600000000	0.0023721810
1.0700000000	0.0020922170
1.0800000000	0.0018338057
1.0900000000	0.0016472364
1.1000000000	0.0015684296
1.1100000000	0.0015758326
1.1200000000	0.0016694458
1.1300000000	0.0017989799
1.1400000000	0.0019428827
1.1500000000	0.0020796018
1.1600000000	0.0021875849
1.1700000000	0.0022380951
1.1800000000	0.0022239485
1.1900000000	0.0021451451
1.2000000000	0.0020304213
1.2100000000	0.0019013293
1.2200000000	0.0018512629
1.2300000000	0.0019664315
1.2400000000	0.0022755714
1.2500000000	0.0027355781
1.2600000000	0.0032817941
1.2700000000	0.0037130642
1.2800000000	0.0038282324
1.2900000000	0.0035339057
1.3000000000	0.0029234773
1.3100000000	0.0021047089
1.3200000000	0.0012356515
1.3300000000	0.0003881462
1.3400000000	-0.0002438361
1.3500000000	-0.0005237964
1.3600000000	-0.0004014463
1.3700000000	0.0000226365
1.3800000000	0.0005760332
1.3900000000	0.0010935084
1.4000000000	0.0014457482
1.4100000000	0.0016112001
1.4200000000	0.0016473369
1.4300000000	0.0016547364
1.4400000000	0.0016765034
1.4500000000	0.0017341901
1.4600000000	0.0018206123
1.4700000000	0.0018280083
1.4800000000	0.0015911428
1.4900000000	0.0010453589
1.5000000000	0.0002122088
1.5100000000	-0.0008005457
1.5200000000	-0.0016768029
1.5300000000	-0.0019495951
1.5400000000	-0.0013602938
1.5500000000	-0.0000310289
1.5600000000	0.0015927834
1.5700000000	0.0030944640
1.5800000000	0.0042656732
1.5900000000	0.0051423318
1.6000000000	0.0058609378
1.6100000000	0.0065436214
1.6200000000	0.0069533064
1.6300000000	0.0068241803
1.6400000000	0.0060628492
1.6500000000	0.0047698907
1.6600000000	0.0031751970
1.6700000000	0.0014583711
1.6800000000	-0.0002369048
1.6900000000	-0.0018962623
1.7000000000	-0.0033472826
1.7100000000	-0.0042810483
1.7200000000	-0.0045035881
1.7300000000	-0.0040795593
1.7400000000	-0.0032388539
1.7500000000	-0.0022257323
1.7600000000	-0.0012916389
1.7700000000	-0.0005802559
1.7800000000	-0.0000987679
1.7900000000	0.0002390348
1.8000000000	0.0005480978
1.8100000000	0.0008715261
1.8200000000	0.0011302941
1.8300000000	0.0012238241
1.8400000000	0.0011377475
1.8500000000	0.0009367217
1.8600000000	0.0008793750
1.8700000000	0.0011453104
1.8800000000	0.0018135531
1.8900000000	0.0026901318
1.9000000000	0.0033942879
1.9100000000	0.0035955514
1.9200000000	0.0032148971
1.9300000000	0.0024175598
1.9400000000	0.0015483771
1.9500000000	0.0013616822
1.9600000000	0.0024322049
1.9700000000	0.0048246023
1.9800000000	0.0079497761
1.9900000000	0.0104355587
2.0000000000	0.0111109374
2.0100000000	0.0096885473
2.0200000000	0.0067862231
2.0300000000	0.0036396340
2.0400000000	0.0013335828
2.0500000000	0.0002488280
2.0600000000	0.0001482933
2.0700000000	0.0004859854
2.0800000000	0.0007877519
2.0900000000	0.0008021484
2.1000000000	0.0005507271
2.1100000000	0.0001771705
2.1200000000	-0.0001676549
2.1300000000	-0.0004119077
2.1400000000	-0.0005484042
2.1500000000	-0.0007423791
2.1600000000	-0.0013243022
2.1700000000	-0.0025168816
2.1800000000	-0.0043057489
2.1900000000	-0.0064035393
2.2000000000	-0.0080846564
2.2100000000	-0.0086953447
2.2200000000	-0.0080847378
2.2300000000	-0.0065258326
2.2400000000	-0.0045358861
2.2500000000	-0.0025603138
2.2600000000	-0.0008146399
2.2700000000	0.0006867676
2.2800000000	0.0016206230
2.2900000000	0.0015127737
2.3000000000	0.0001692487
2.3100000000	-0.0022231651
2.3200000000	-0.0052262359
2.3300000000	-0.0084448373
2.3400000000	-0.0114120011
2.3500000000	-0.0132871847
2.3600000000	-0.0135746837
2.3700000000	-0.0123463394
2.3800000000	-0.0101122247
2.3900000000	-0.0074614379
2.4000000000	-0.0049184199
2.4100000000	-0.0029429551
2.4200000000	-0.0017361986
2.4300000000	-0.0011544683
2.4400000000	-0.0008170057
2.4500000000	0.0000377066
2.4600000000	0.0020346872
2.4700000000	0.0052745137
2.4800000000	0.0091106152
2.4900000000	0.0122642170
2.5000000000	0.0138588563
2.5100000000	0.0138083234
2.5200000000	0.0125795864
2.5300000000	0.0107976639
2.5400000000	0.0089438923
2.5500000000	0.0072481635
2.5600000000	0.0056961093
2.5700000000	0.0041727836
2.5800000000	0.0025632403
2.5900000000	0.0008315590
2.6000000000	-0.0008354736
2.6100000000	-0.0020858349
2.6200000000	-0.0026896334
2.6300000000	-0.0026899736
2.6400000000	-0.0023239318
2.6500000000	-0.0018213998
2.6600000000	-0.0013691652
2.6700000000	-0.0010462531
2.6800000000	-0.0010610033
2.6900000000	-0.0017007807
2.7000000000	-0.0030517951
2.7100000000	-0.0049775477
2.7200000000	-0.0072409628
2.7300000000	-0.0096049641
2.7400000000	-0.0119258693
2.7500000000	-0.0140743641
2.7600000000	-0.0153679566
2.7700000000	-0.0151026029
2.7800000000	-0.0130843314
2.7900000000	-0.0097298213
2.8000000000	-0.0056712760
2.8100000000	-0.0014690568
2.8200000000	0.0022230810
2.8300000000	0.0042053883
2.8400000000	0.0037163483
2.8500000000	0.0009283798
2.8600000000	-0.0033107906
2.8700000000	-0.0071045540
2.8800000000	-0.0085922222
2.8900000000	-0.0071487762
2.9000000000	-0.0033489464
2.9100000000	0.0016721761
2.9200000000	0.0068513405
2.9300000000	0.0115635281
2.9400000000	0.0148316982
2.9500000000	0.0154058129
2.9600000000	0.0128835614
2.9700000000	0.0078612260
2.9800000000	0.0014307937
2.9900000000	-0.0054019582
3.0000000000	-0.0120191947
3.0100000000	-0.0177743451
3.0200000000	-0.0211443745
3.0300000000	-0.0211019533
3.0400000000	-0.0178338687
3.0500000000	-0.0123818187
3.0600000000	-0.0060173932
3.0700000000	0.0003182873
3.0800000000	0.0062229125
3.0900000000	0.0117755071
3.1000000000	0.0164300782
3.1100000000	0.0178014963
3.1200000000	0.0140506255
3.1300000000	0.0051918345
3.1400000000	-0.0068136109
3.1500000000	-0.0177989186
3.1600000000	-0.0241073690
3.1700000000	-0.0246972643
3.1800000000	-0.0208832990
3.1900000000	-0.0149931293
3.2000000000	-0.0090526783
3.2100000000	-0.0041180120
3.2200000000	-0.0009865683
3.2300000000	-0.0004270484
3.2400000000	-0.0024322683
3.2500000000	-0.0063341039
3.2600000000	-0.0111986193
3.2700000000	-0.0162930334
3.2800000000	-0.0211934831
3.2900000000	-0.0258568634
3.3000000000	-0.0297371806
3.3100000000	-0.0308228801
3.3200000000	-0.0275981113
3.3300000000	-0.0201131632
3.3400000000	-0.0096611776
3.3500000000	0.0020552077
3.3600000000	0.0137572188
3.3700000000	0.0243097642
3.3800000000	0.0321682573
3.3900000000	0.0366358383
3.4000000000	0.0382082117
3.4100000000	0.0380635740
3.4200000000	0.0374016743
3.4300000000	0.0369481093
3.4400000000	0.0366525901
3.4500000000	0.0357320475
3.4600000000	0.0335327261
3.4700000000	0.0300043374
3.4800000000	0.0255276401
3.4900000000	0.0206629961
3.5000000000	0.0158558210
