t(s)	a(g)
0.0000000000	0.0000003731
0.0100000000	0.0000003730
0.0200000000	0.0000003728
0.0300000000	0.0000003726
0.0400000000	-0.0000178376
0.0500000000	-0.0000178377
0.0600000000	-0.0000178379
0.0700000000	-0.0000178381
0.0800000000	-0.0000178383
0.0900000000	-0.0000178385
0.1000000000	-0.0000178386
0.1100000000	-0.0000178388
0.1200000000	-0.0000178390
0.1300000000	-0.0000178391
0.1400000000	-0.0000178393
0.1500000000	-0.0000178394
0.1600000000	-0.0000178396
0.1700000000	-0.0000178397
0.1800000000	-0.0000178399
0.1900000000	-0.0000178401
0.2000000000	-0.0000178403
0.2100000000	-0.0000178404
0.2200000000	-0.0000178406
0.2300000000	-0.0000178408
0.2400000000	-0.0000178410
0.2500000000	-0.0000178412
0.2600000000	-0.0000178413
0.2700000000	-0.0000178415
0.2800000000	-0.0000178416
0.2900000000	-0.0000178418
0.3000000000	-0.0000178420
0.3100000000	-0.0000178421
0.3200000000	-0.0000178423
0.3300000000	-0.0000178425
0.3400000000	-0.0000178427
0.3500000000	-0.0000178429
0.3600000000	-0.0000178430
0.3700000000	-0.0000178432
0.3800000000	-0.0000178434
0.3900000000	-0.0000178436
0.4000000000	-0.0000178438
0.4100000000	-0.0000178439
0.4200000000	-0.0000178440
0.4300000000	-0.0000178442
0.4400000000	-0.0000178444
0.4500000000	-0.0000178446
0.4600000000	-0.0000178448
0.4700000000	-0.0000178449
0.4800000000	-0.0000178451
0.4900000000	-0.0000178453
0.5000000000	-0.0000178455
0.5100000000	-0.0000178457
0.5200000000	-0.0000178458
0.5300000000	-0.0000178460
0.5400000000	-0.0000178462
0.5500000000	-0.0000178463
0.5600000000	-0.0000178465
0.5700000000	-0.0000178466
0.5800000000	-0.0000178468
0.5900000000	-0.0000178470
0.6000000000	-0.0000178472
0.6100000000	-0.0000178474
0.6200000000	-0.0000178475
0.6300000000	-0.0000178476
0.6400000000	-0.0000178478
0.6500000000	-0.0000178480
0.6600000000	-0.0000178482
0.6700000000	-0.0000178484
0.6800000000	-0.0000178484
0.6900000000	-0.0000178486
0.7000000000	-0.0000178488
0.7100000000	-0.0000178490
0.7200000000	-0.0000178492
0.7300000000	-0.0000178493
0.7400000000	-0.0000178495
0.7500000000	-0.0000178497
0.7600000000	-0.0000178499
0.7700000000	-0.0000178501
0.7800000000	-0.0000178502
0.7900000000	-0.0000178504
0.8000000000	-0.0000178506
0.8100000000	-0.0000178507
0.8200000000	-0.0000178509
0.8300000000	-0.0000178511
0.8400000000	-0.0000057114
0.8500000000	-0.0000057116
0.8600000000	-0.0000057118
0.8700000000	-0.0000178517
0.8800000000	-0.0000178519
0.8900000000	-0.0000178520
0.9000000000	-0.0000178522
0.9100000000	-0.0000178524
0.9200000000	-0.0000178526
0.9300000000	-0.0000178527
0.9400000000	-0.0000178529
0.9500000000	-0.0000178530
0.9600000000	-0.0000178532
0.9700000000	-0.0000178534
0.9800000000	-0.0000178536
0.9900000000	-0.0000178538
1.0000000000	-0.0000178540
1.0100000000	-0.0000178542
1.0200000000	-0.0000178544
1.0300000000	-0.0000178546
1.0400000000	-0.0000178547
1.0500000000	-0.0000178548
1.0600000000	-0.0000178550
1.0700000000	-0.0000178551
1.0800000000	-0.0000178553
1.0900000000	-0.0000178555
1.1000000000	-0.0000178556
1.1100000000	-0.0000178558
1.1200000000	-0.0000178560
1.1300000000	-0.0000178562
1.1400000000	-0.0000178564
1.1500000000	-0.0000178565
1.1600000000	-0.0000057167
1.1700000000	0.0000003531
1.1800000000	0.0000124929
1.1900000000	0.0000003528
1.2000000000	0.0000124925
1.2100000000	-0.0000057175
1.2200000000	-0.0000178576
1.2300000000	-0.0000057179
1.2400000000	0.0000124918
1.2500000000	0.0000124916
1.2600000000	-0.0000057184
1.2700000000	-0.0000178584
1.2800000000	-0.0000178586
1.2900000000	-0.0000178588
1.3000000000	-0.0000178590
1.3100000000	-0.0000178592
1.3200000000	-0.0000178592
1.3300000000	-0.0000178594
1.3400000000	-0.0000178596
1.3500000000	-0.0000178598
1.3600000000	-0.0000178600
1.3700000000	0.0000003497
1.3800000000	0.0000124896
1.3900000000	0.0000003495
1.4000000000	-0.0000057207
1.4100000000	-0.0000300007
1.4200000000	-0.0000300009
1.4300000000	-0.0000300011
1.4400000000	-0.0000178612
1.4500000000	-0.0000178614
1.4600000000	-0.0000178616
1.4700000000	-0.0000178618
1.4800000000	-0.0000178619
1.4900000000	0.0000124879
1.5000000000	0.0000246276
1.5100000000	0.0000003476
1.5200000000	-0.0000178625
1.5300000000	-0.0000057227
1.5400000000	0.0000124870
1.5500000000	0.0000246267
1.5600000000	0.0000246266
1.5700000000	0.0000246264
1.5800000000	0.0000003464
1.5900000000	-0.0000057236
1.6000000000	-0.0000178637
1.6100000000	-0.0000300039
1.6200000000	-0.0000421440
1.6300000000	-0.0000542841
1.6400000000	-0.0000421443
1.6500000000	-0.0000542844
1.6600000000	-0.0000300047
1.6700000000	-0.0000178650
1.6800000000	0.0000124848
1.6900000000	0.0000306945
1.7000000000	0.0000124844
1.7100000000	-0.0000057256
1.7200000000	-0.0000300056
1.7300000000	-0.0000300058
1.7400000000	-0.0000057262
1.7500000000	0.0000549734
1.7600000000	0.0000913929
1.7700000000	0.0000671128
1.7800000000	0.0000124832
1.7900000000	-0.0000178668
1.8000000000	-0.0000178670
1.8100000000	-0.0000178672
1.8200000000	-0.0000057273
1.8300000000	-0.0000178674
1.8400000000	-0.0000178676
1.8500000000	-0.0000178678
1.8600000000	-0.0000178680
1.8700000000	0.0000246217
1.8800000000	0.0000367615
1.8900000000	0.0000246214
1.9000000000	-0.0000057286
1.9100000000	-0.0000300086
1.9200000000	-0.0000542885
1.9300000000	-0.0000300090
1.9400000000	0.0000246206
1.9500000000	0.0000246204
1.9600000000	0.0000306902
1.9700000000	0.0000367601
1.9800000000	0.0000124800
1.9900000000	-0.0000057300
2.0000000000	-0.0000178701
2.0100000000	-0.0000178703
2.0200000000	-0.0000178704
2.0300000000	-0.0000178706
2.0400000000	-0.0000178708
2.0500000000	-0.0000057310
2.0600000000	0.0000246188
2.0700000000	0.0000488984
2.0800000000	0.0000246184
2.0900000000	-0.0000057316
2.1000000000	-0.0000178717
2.1100000000	-0.0000178718
2.1200000000	-0.0000178720
2.1300000000	-0.0000057322
2.1400000000	-0.0000178723
2.1500000000	-0.0000178724
2.1600000000	-0.0000178725
2.1700000000	-0.0000178727
2.1800000000	-0.0000057330
2.1900000000	-0.0000057331
2.2000000000	-0.0000178731
2.2100000000	-0.0000542930
2.2200000000	-0.0000846431
2.2300000000	-0.0000542934
2.2400000000	-0.0000178736
2.2500000000	-0.0000057339
2.2600000000	-0.0000178740
2.2700000000	-0.0000178742
2.2800000000	-0.0000057344
2.2900000000	0.0000246152
2.3000000000	0.0000549648
2.3100000000	0.0000488947
2.3200000000	0.0000549645
2.3300000000	0.0000488945
2.3400000000	0.0000124746
2.3500000000	-0.0000178754
2.3600000000	-0.0000300155
2.3700000000	-0.0000178757
2.3800000000	0.0000306839
2.3900000000	0.0001399430
2.4000000000	0.0002188523
2.4100000000	0.0002856218
2.4200000000	0.0003038315
2.4300000000	0.0002552717
2.4400000000	0.0001945718
2.4500000000	0.0000853124
2.4600000000	0.0000003328
2.4700000000	-0.0000300172
2.4800000000	-0.0000178774
2.4900000000	-0.0000118076
2.5000000000	-0.0000118077
2.5100000000	-0.0000178777
2.5200000000	-0.0000178779
2.5300000000	-0.0000178781
2.5400000000	-0.0000178782
2.5500000000	-0.0000178784
2.5600000000	-0.0000178785
2.5700000000	-0.0000118087
2.5800000000	-0.0000118088
2.5900000000	-0.0000118090
2.6000000000	-0.0000178791
2.6100000000	-0.0000300192
2.6200000000	0.0000003305
2.6300000000	0.0000853097
2.6400000000	0.0001520792
2.6500000000	0.0001460091
2.6600000000	0.0000974492
2.6700000000	0.0000306796
2.6800000000	-0.0000178803
2.6900000000	-0.0000178804
2.7000000000	-0.0000118106
2.7100000000	-0.0000178808
2.7200000000	-0.0000178808
2.7300000000	-0.0000118111
2.7400000000	0.0000367484
2.7500000000	0.0000853080
2.7600000000	0.0000428181
2.7700000000	-0.0000118117
2.7800000000	-0.0000300218
2.7900000000	-0.0000178819
2.8000000000	-0.0000118121
2.8100000000	-0.0000118123
2.8200000000	-0.0000178824
2.8300000000	-0.0000360923
2.8400000000	-0.0000118126
2.8500000000	0.0001460061
2.8600000000	0.0003584547
2.8700000000	0.0004555739
2.8800000000	0.0003584543
2.8900000000	0.0001399356
2.9000000000	0.0000003264
2.9100000000	-0.0000178836
2.9200000000	-0.0000300237
2.9300000000	-0.0001635629
2.9400000000	-0.0003699418
2.9500000000	-0.0005216910
2.9600000000	-0.0005945306
2.9700000000	-0.0005399013
2.9800000000	-0.0003274526
2.9900000000	-0.0000967943
3.0000000000	0.0000306747
3.0100000000	0.0001824236
3.0200000000	0.0003705922
3.0300000000	0.0004677114
3.0400000000	0.0004677112
3.0500000000	0.0004798510
3.0600000000	0.0004798509
3.0700000000	0.0003827313
3.0800000000	0.0001702825
3.0900000000	0.0000003236
3.1000000000	-0.0000360964
3.1100000000	-0.0000178867
3.1200000000	-0.0000118168
3.1300000000	-0.0000118169
3.1400000000	-0.0000178871
3.1500000000	-0.0000178872
3.1600000000	-0.0000178874
3.1700000000	0.0000185323
3.1800000000	0.0000185321
3.1900000000	-0.0000907274
3.2000000000	-0.0003578057
3.2100000000	-0.0005338347
3.2200000000	-0.0004670654
3.2300000000	-0.0002060572
3.2400000000	-0.0000118186
3.2500000000	0.0000306709
3.2600000000	-0.0000178889
3.2700000000	-0.0000543088
3.2800000000	0.0000185306
3.2900000000	0.0002188391
3.3000000000	0.0003463081
3.3100000000	0.0001945590
3.3200000000	0.0000549498
3.3300000000	0.0001095792
3.3400000000	0.0002066984
3.3500000000	0.0001642085
3.3600000000	0.0000367393
3.3700000000	-0.0000846601
3.3800000000	-0.0002546192
3.3900000000	-0.0003820885
3.4000000000	-0.0004367184
3.4100000000	-0.0004124388
3.4200000000	-0.0002485499
3.4300000000	-0.0000603812
3.4400000000	0.0000974376
3.4500000000	0.0003645158
3.4600000000	0.0005769642
3.4700000000	0.0006194537
3.4800000000	0.0004919843
3.4900000000	0.0002066962
3.5000000000	-0.0000118227
3.5100000000	-0.0000543126
3.5200000000	-0.0000178930
3.5300000000	0.0000185266
3.5400000000	0.0000185264
3.5500000000	-0.0001089428
3.5600000000	-0.0003820912
3.5700000000	-0.0006006101
3.5800000000	-0.0006491698
3.5900000000	-0.0006613100
3.6000000000	-0.0006248904
3.6100000000	-0.0004124419
3.6200000000	-0.0000178947
3.6300000000	0.0004130725
3.6400000000	0.0006558707
3.6500000000	0.0006619404
3.6600000000	0.0005101913
3.6700000000	0.0002491827
3.6800000000	0.0001277834
3.6900000000	0.0000913634
3.7000000000	0.0000306637
3.7100000000	0.0000003137
3.7200000000	-0.0000300363
3.7300000000	-0.0001210859
3.7400000000	-0.0002606953
3.7500000000	-0.0004974238
3.7600000000	-0.0006248931
3.7700000000	-0.0004549344
3.7800000000	-0.0001271568
3.7900000000	0.0000306620
3.8000000000	0.0000549417
3.8100000000	-0.0000057581
3.8200000000	-0.0001635773
3.8300000000	-0.0003335363
3.8400000000	-0.0002485571
3.8500000000	-0.0000057588
3.8600000000	0.0001641999
3.8700000000	0.0001217099
3.8800000000	0.0000003105
3.8900000000	0.0001034996
3.9000000000	0.0004373474
3.9100000000	0.0005769563
3.9200000000	0.0003402275
3.9300000000	-0.0000846699
3.9400000000	-0.0005156374
3.9500000000	-0.0007584360
3.9600000000	-0.0006734567
3.9700000000	-0.0002667695
3.9800000000	0.0002552468
3.9900000000	0.0006619340
4.0000000000	0.0007833330
4.0100000000	0.0006073039
4.0200000000	0.0002552460
4.0300000000	-0.0000118325
4.0400000000	-0.0000543224
4.0500000000	-0.0000179029
4.0600000000	0.0000124467
4.0700000000	-0.0000179033
4.0800000000	-0.0000361134
4.0900000000	0.0000124461
4.1000000000	0.0001945447
4.1100000000	0.0003584335
4.1200000000	0.0002491739
4.1300000000	-0.0000907442
4.1400000000	-0.0005642014
4.1500000000	-0.0007827201
4.1600000000	-0.0004974322
4.1700000000	0.0001459833
4.1800000000	0.0006619298
4.1900000000	0.0008136785
4.2000000000	0.0008076083
4.2100000000	0.0007711883
4.2200000000	0.0006437190
4.2300000000	0.0003038009
4.2400000000	-0.0001089566
4.2500000000	-0.0005217143
4.2600000000	-0.0007705829
4.2700000000	-0.0008434227
4.2800000000	-0.0008494929
4.2900000000	-0.0007523737
4.3000000000	-0.0004306662
4.3100000000	-0.0001393083
4.3200000000	-0.0002607078
4.3300000000	-0.0006916752
4.3400000000	-0.0010073134
4.3500000000	-0.0009951737
4.3600000000	-0.0008434250
4.3700000000	-0.0007887956
4.3800000000	-0.0008555655
4.3900000000	-0.0008191461
4.4000000000	-0.0004063890
4.4100000000	0.0003523558
4.4200000000	0.0009229318
4.4300000000	0.0012324994
4.4400000000	0.0013417585
4.4500000000	0.0012749886
4.4600000000	0.0011717989
4.4700000000	0.0010443295
4.4800000000	0.0006072920
4.4900000000	-0.0000846838
4.5000000000	-0.0008252193
4.5100000000	-0.0015718247
4.5200000000	-0.0022698706
4.5300000000	-0.0024641096
4.5400000000	-0.0018935335
4.5500000000	-0.0008798504
4.5600000000	0.0000306433
4.5700000000	0.0005769393
4.5800000000	0.0009289967
4.5900000000	0.0013963835
4.6000000000	0.0019912392
4.6100000000	0.0024950456
4.6200000000	0.0025436049
4.6300000000	0.0019973082
4.6400000000	0.0010443239
4.6500000000	-0.0000543391
4.6600000000	-0.0008373644
4.6700000000	-0.0010133936
4.6800000000	-0.0006977561
4.6900000000	-0.0000968305
4.7000000000	0.0001945274
4.7100000000	0.0000184982
4.7200000000	-0.0002243006
4.7300000000	-0.0001818113
4.7400000000	0.0001823859
4.7500000000	0.0004009041
4.7600000000	0.0002491548
4.7700000000	-0.0000179240
4.7800000000	-0.0000361341
4.7900000000	0.0003280631
4.8000000000	0.0008622192
4.8100000000	0.0011171570
4.8200000000	0.0009957576
4.8300000000	0.0010139671
4.8400000000	0.0013963741
4.8500000000	0.0017787812
4.8600000000	0.0019062500
4.8700000000	0.0016877309
4.8800000000	0.0010625246
4.8900000000	0.0003584087
4.9000000000	-0.0000057893
4.9100000000	-0.0001939586
4.9200000000	-0.0005399468
4.9300000000	-0.0010134041
4.9400000000	-0.0015414911
4.9500000000	-0.0018571295
4.9600000000	-0.0018632000
4.9700000000	-0.0015779123
4.9800000000	-0.0010983858
4.9900000000	-0.0004913902
5.0000000000	0.0002734243
5.0100000000	0.0007711606
5.0200000000	0.0006922507
5.0300000000	0.0004737315
5.0400000000	0.0006679697
5.0500000000	0.0012567555
5.0600000000	0.0017423519
5.0700000000	0.0016027422
5.0800000000	0.0009471859
