t(s)	a(g)
0.0000000000	0.0000016038
0.0100000000	0.0000016024
0.0200000000	0.0000016010
0.0300000000	0.0000332024
0.0400000000	0.0000332009
0.0500000000	0.0000331995
0.0600000000	0.0000331981
0.0700000000	0.0000268762
0.0800000000	0.0000268747
0.0900000000	0.0000268734
0.1000000000	0.0000268719
0.1100000000	0.0000268705
0.1200000000	0.0000268691
0.1300000000	0.0000268677
0.1400000000	0.0000268663
0.1500000000	0.0000268648
0.1600000000	0.0000268635
0.1700000000	0.0000268620
0.1800000000	0.0000268606
0.1900000000	0.0000268592
0.2000000000	0.0000268578
0.2100000000	0.0000268565
0.2200000000	0.0000268550
0.2300000000	0.0000268536
0.2400000000	0.0000205317
0.2500000000	0.0000205303
0.2600000000	0.0000205288
0.2700000000	0.0000205275
0.2800000000	0.0000205260
0.2900000000	0.0000205247
0.3000000000	0.0000205232
0.3100000000	0.0000205219
0.3200000000	0.0000205205
0.3300000000	0.0000141983
0.3400000000	0.0000141970
0.3500000000	0.0000141955
0.3600000000	0.0000141942
0.3700000000	0.0000141927
0.3800000000	0.0000141914
0.3900000000	0.0000141899
0.4000000000	0.0000141886
0.4100000000	0.0000078666
0.4200000000	0.0000078653
0.4300000000	0.0000078638
0.4400000000	0.0000078625
0.4500000000	0.0000078611
0.4600000000	0.0000078597
0.4700000000	0.0000078583
0.4800000000	0.0000078569
0.4900000000	0.0000015350
0.5000000000	0.0000015336
0.5100000000	0.0000015322
0.5200000000	0.0000015308
0.5300000000	0.0000015294
0.5400000000	0.0000015280
0.5500000000	0.0000015266
0.5600000000	0.0000015252
0.5700000000	-0.0000047966
0.5800000000	-0.0000047981
0.5900000000	-0.0000047994
0.6000000000	-0.0000048009
0.6100000000	-0.0000048022
0.6200000000	-0.0000048036
0.6300000000	-0.0000111255
0.6400000000	-0.0000111269
0.6500000000	-0.0000111283
0.6600000000	-0.0000111297
0.6700000000	-0.0000111310
0.6800000000	-0.0000111325
0.6900000000	-0.0000111338
0.7000000000	-0.0000111352
0.7100000000	-0.0000174573
0.7200000000	-0.0000174587
0.7300000000	-0.0000174600
0.7400000000	-0.0000174614
0.7500000000	-0.0000174628
0.7600000000	-0.0000174641
0.7700000000	-0.0000174656
0.7800000000	-0.0000174669
0.7900000000	-0.0000237888
0.8000000000	-0.0000237902
0.8100000000	-0.0000237916
0.8200000000	-0.0000237929
0.8300000000	-0.0000301148
0.8400000000	-0.0000301162
0.8500000000	-0.0000237971
0.8600000000	-0.0000301190
0.8700000000	-0.0000301203
0.8800000000	-0.0000301217
0.8900000000	-0.0000301231
0.9000000000	-0.0000301244
0.9100000000	-0.0000301258
0.9200000000	-0.0000301271
0.9300000000	-0.0000301286
0.9400000000	-0.0000301299
0.9500000000	-0.0000301313
0.9600000000	-0.0000301326
0.9700000000	-0.0000364546
0.9800000000	-0.0000301354
0.9900000000	-0.0000364574
1.0000000000	-0.0000364587
1.0100000000	-0.0000364601
1.0200000000	-0.0000364614
1.0300000000	-0.0000364628
1.0400000000	-0.0000364641
1.0500000000	-0.0000427862
1.0600000000	-0.0000427875
1.0700000000	-0.0000427889
1.0800000000	-0.0000427902
1.0900000000	-0.0000491121
1.1000000000	-0.0000491135
1.1100000000	-0.0000427943
1.1200000000	-0.0000491162
1.1300000000	-0.0000491176
1.1400000000	-0.0000491189
1.1500000000	-0.0000554408
1.1600000000	-0.0000491216
1.1700000000	-0.0000491230
1.1800000000	-0.0000554449
1.1900000000	-0.0000554462
1.2000000000	-0.0000617682
1.2100000000	-0.0000554489
1.2200000000	-0.0000617709
