t(s)	a(g)
0.0000000000	-0.0000049711
0.0100000000	-0.0000049611
0.0200000000	0.0000090121
0.0300000000	0.0000090221
0.0400000000	0.0000090321
0.0500000000	0.0000090420
0.0600000000	0.0000090520
0.0700000000	0.0000090619
0.0800000000	0.0000090719
0.0900000000	0.0000160634
0.1000000000	0.0000090918
0.1100000000	0.0000091017
0.1200000000	0.0000091116
0.1300000000	0.0000161031
0.1400000000	0.0000091314
0.1500000000	0.0000161229
0.1600000000	0.0000091512
0.1700000000	0.0000091610
0.1800000000	0.0000091709
0.1900000000	0.0000091808
0.2000000000	0.0000091906
0.2100000000	0.0000022188
0.2200000000	0.0000022287
0.2300000000	0.0000162017
0.2400000000	0.0000092299
0.2500000000	0.0000092397
0.2600000000	0.0000441574
0.2700000000	0.0000092593
0.2800000000	-0.0000256389
0.2900000000	0.0000232420
0.3000000000	-0.0000046746
0.3100000000	0.0000232615
0.3200000000	0.0000162897
0.3300000000	0.0000023363
0.3400000000	0.0000163092
0.3500000000	-0.0000046259
0.3600000000	0.0000233102
0.3700000000	0.0000093568
0.3800000000	0.0000093665
0.3900000000	0.0000303209
0.4000000000	-0.0000115589
0.4100000000	-0.0000674020
0.4200000000	0.0000024236
0.4300000000	0.0000513044
0.4400000000	0.0000303692
0.4500000000	0.0000094342
0.4600000000	-0.0000115010
0.4700000000	-0.0000114914
0.4800000000	0.0000164447
0.4900000000	0.0000164543
0.5000000000	0.0000234454
0.5100000000	0.0000374182
0.5200000000	0.0000653541
0.5300000000	0.0000234741
0.5400000000	-0.0000114242
0.5500000000	0.0000234933
0.5600000000	-0.0000812209
0.5700000000	0.0000095493
0.5800000000	0.0001631536
0.5900000000	-0.0000113764
0.6000000000	-0.0000113669
0.6100000000	0.0001003480
0.6200000000	0.0000305416
0.6300000000	0.0000305511
0.6400000000	-0.0000043473
0.6500000000	0.0000445333
0.6600000000	0.0000305796
0.6700000000	0.0000236074
0.6800000000	0.0000096538
0.6900000000	-0.0000392078
0.7000000000	0.0000306174
0.7100000000	0.0000725163
0.7200000000	0.0000934706
0.7300000000	0.0001144247
0.7400000000	0.0001772684
0.7500000000	0.0000865172
0.7600000000	0.0000516187
0.7700000000	-0.0000391325
0.7800000000	0.0001563612
0.7900000000	0.0000656100
0.8000000000	0.0001075088
0.8100000000	0.0000795919
0.8200000000	0.0000307301
0.8300000000	0.0000865922
0.8400000000	-0.0000530302
0.8500000000	-0.0000600025
0.8600000000	-0.0000390484
0.8700000000	-0.0000390390
0.8800000000	0.0000726756
0.8900000000	-0.0000041125
0.9000000000	0.0001076020
0.9100000000	0.0001425193
0.9200000000	-0.0000808821
0.9300000000	-0.0000389834
0.9400000000	-0.0002135137
0.9500000000	-0.0001716150
0.9600000000	0.0000727497
0.9700000000	-0.0000389464
0.9800000000	-0.0001366794
0.9900000000	-0.0001925228
1.0000000000	-0.0001296793
1.0100000000	0.0001077037
