t(s)	a(g)
0	0.00066
0.005	0.00066
0.01	-0.00006
0.015	-0.00006
0.02	-0.00006
0.025	-0.00006
0.03	-0.00006
0.035	-0.00005
0.04	-0.00005
0.045	-0.00005
0.05	-0.00005
0.055	-0.00004
0.06	-0.00004
0.065	-0.00004
0.07	-0.00004
0.075	-0.00004
0.08	-0.00005
0.085	-0.00005
0.09	-0.00007
0.095	-0.00008
0.1	-0.00010
0.105	-0.00011
0.11	-0.00014
0.115	-0.00017
0.12	-0.00019
0.125	-0.00022
0.13	-0.00024
0.135	-0.00027
0.14	-0.00029
0.145	-0.00031
0.15	-0.00032
0.155	-0.00032
0.16	-0.00034
0.165	-0.00034
0.17	-0.00033
0.175	-0.00032
0.18	-0.00032
0.185	-0.00032
0.19	-0.00030
0.195	-0.00028
0.2	-0.00027
0.205	-0.00026
0.21	-0.00025
0.215	-0.00025
0.22	-0.00025
0.225	-0.00025
0.23	-0.00025
0.235	-0.00025
0.24	-0.00025
0.245	-0.00025
0.25	-0.00026
0.255	-0.00025
0.26	-0.00025
0.265	-0.00024
0.27	-0.00022
0.275	-0.00021
0.28	-0.00020
0.285	-0.00019
0.29	-0.00020
0.295	-0.00022
0.3	-0.00023
0.305	-0.00025
0.31	-0.00027
0.315	-0.00028
0.32	-0.00029
0.325	-0.00029
0.33	-0.00028
0.335	-0.00026
0.34	-0.00025
0.345	-0.00025
0.35	-0.00024
0.355	-0.00025
0.36	-0.00026
0.365	-0.00031
0.37	-0.00034
0.375	-0.00039
0.38	-0.00045
0.385	-0.00052
0.39	-0.00057
0.395	-0.00059
0.4	-0.00060
0.405	-0.00058
0.41	-0.00052
0.415	-0.00045
0.42	-0.00033
0.425	-0.00022
0.43	-0.00010
0.435	0.00001
0.44	0.00008
0.445	0.00013
0.45	0.00016
0.455	0.00016
0.46	0.00013
0.465	0.00009
0.47	0.00004
0.475	-0.00002
0.48	-0.00010
0.485	-0.00018
0.49	-0.00028
0.495	-0.00038
0.5	-0.00048
0.505	-0.00059
0.51	-0.00071
0.515	-0.00080
0.52	-0.00089
0.525	-0.00094
0.53	-0.00096
0.535	-0.00094
0.54	-0.00086
0.545	-0.00073
0.55	-0.00054
0.555	-0.00033
0.56	-0.00008
0.565	0.00017
0.57	0.00040
0.575	0.00061
0.58	0.00076
0.585	0.00084
0.59	0.00084
0.595	0.00077
0.6	0.00062
0.605	0.00041
0.61	0.00017
0.615	-0.00012
0.62	-0.00043
0.625	-0.00075
0.63	-0.00107
0.635	-0.00135
0.64	-0.00158
0.645	-0.00176
0.65	-0.00187
0.655	-0.00192
0.66	-0.00191
0.665	-0.00187
0.67	-0.00177
0.675	-0.00162
0.68	-0.00144
0.685	-0.00122
0.69	-0.00101
0.695	-0.00080
0.7	-0.00061
0.705	-0.00045
0.71	-0.00032
0.715	-0.00023
0.72	-0.00021
0.725	-0.00025
0.73	-0.00036
0.735	-0.00052
0.74	-0.00072
0.745	-0.00095
0.75	-0.00118
0.755	-0.00142
0.76	-0.00162
0.765	-0.00179
0.77	-0.00194
0.775	-0.00205
0.78	-0.00214
0.785	-0.00221
0.79	-0.00229
0.795	-0.00235
0.8	-0.00239
0.805	-0.00242
0.81	-0.00242
0.815	-0.00241
0.82	-0.00239
0.825	-0.00237
0.83	-0.00235
0.835	-0.00232
0.84	-0.00229
0.845	-0.00226
0.85	-0.00225
0.855	-0.00223
0.86	-0.00222
0.865	-0.00221
0.87	-0.00221
0.875	-0.00220
0.88	-0.00217
0.885	-0.00210
0.89	-0.00198
0.895	-0.00178
0.9	-0.00154
0.905	-0.00123
0.91	-0.00090
0.915	-0.00054
0.92	-0.00018
0.925	0.00016
0.93	0.00045
0.935	0.00066
0.94	0.00077
0.945	0.00080
0.95	0.00074
0.955	0.00063
0.96	0.00048
0.965	0.00032
0.97	0.00022
0.975	0.00016
0.98	0.00022
0.985	0.00039
0.99	0.00071
0.995	0.00118
1	0.00178
1.005	0.00251
1.01	0.00331
1.015	0.00416
1.02	0.00502
1.025	0.00584
1.03	0.00654
1.035	0.00710
1.04	0.00744
1.045	0.00757
1.05	0.00744
1.055	0.00703
1.06	0.00637
1.065	0.00550
1.07	0.00444
1.075	0.00329
1.08	0.00213
1.085	0.00100
1.09	-0.00007
1.095	-0.00102
1.1	-0.00185
1.105	-0.00253
1.11	-0.00308
1.115	-0.00346
1.12	-0.00371
1.125	-0.00383
1.13	-0.00385
1.135	-0.00379
1.14	-0.00365
1.145	-0.00341
1.15	-0.00307
1.155	-0.00262
1.16	-0.00209
1.165	-0.00149
1.17	-0.00086
1.175	-0.00025
1.18	0.00028
1.185	0.00069
1.19	0.00094
1.195	0.00101
1.2	0.00094
1.205	0.00073
1.21	0.00045
1.215	0.00012
1.22	-0.00019
1.225	-0.00045
1.23	-0.00061
1.235	-0.00062
1.24	-0.00046
1.245	-0.00015
1.25	0.00032
1.255	0.00089
1.26	0.00156
1.265	0.00223
1.27	0.00283
1.275	0.00324
1.28	0.00342
1.285	0.00331
1.29	0.00289
1.295	0.00214
1.3	0.00110
1.305	-0.00018
1.31	-0.00160
1.315	-0.00308
1.32	-0.00454
1.325	-0.00591
1.33	-0.00710
1.335	-0.00807
1.34	-0.00881
1.345	-0.00930
1.35	-0.00957
1.355	-0.00966
1.36	-0.00961
1.365	-0.00944
