t(s)	a(g)
0	0.00036
0.01	-0.00134
0.02	-0.00137
0.03	-0.00138
0.04	-0.00140
0.05	-0.00142
0.06	-0.00144
0.07	-0.00146
0.08	-0.00148
0.09	-0.00149
0.1	-0.00151
0.11	-0.00152
0.12	-0.00155
0.13	-0.00156
0.14	-0.00158
0.15	-0.00160
0.16	-0.00161
0.17	-0.00164
0.18	-0.00165
0.19	-0.00167
0.2	-0.00167
0.21	-0.00171
0.22	-0.00172
0.23	-0.00175
0.24	-0.00176
0.25	-0.00177
0.26	-0.00179
0.27	-0.00181
0.28	-0.00184
0.29	-0.00185
0.3	-0.00186
0.31	-0.00188
0.32	-0.00189
0.33	-0.00191
0.34	-0.00192
0.35	-0.00194
0.36	-0.00196
0.37	-0.00198
0.38	-0.00201
0.39	-0.00202
0.4	-0.00203
0.41	-0.00203
0.42	-0.00203
0.43	-0.00203
0.44	-0.00205
0.45	-0.00208
0.46	-0.00212
0.47	-0.00215
0.48	-0.00220
0.49	-0.00222
0.5	-0.00225
0.51	-0.00227
0.52	-0.00228
0.53	-0.00229
0.54	-0.00231
0.55	-0.00232
0.56	-0.00233
0.57	-0.00234
0.58	-0.00234
0.59	-0.00235
0.6	-0.00236
0.61	-0.00239
0.62	-0.00243
0.63	-0.00250
0.64	-0.00257
0.65	-0.00264
0.66	-0.00265
0.67	-0.00262
0.68	-0.00256
0.69	-0.00250
0.7	-0.00243
0.71	-0.00239
0.72	-0.00236
0.73	-0.00240
0.74	-0.00247
0.75	-0.00256
0.76	-0.00262
0.77	-0.00266
0.78	-0.00267
0.79	-0.00269
0.8	-0.00271
0.81	-0.00274
0.82	-0.00276
0.83	-0.00280
0.84	-0.00282
0.85	-0.00284
0.86	-0.00288
0.87	-0.00290
0.88	-0.00295
0.89	-0.00302
0.9	-0.00308
0.91	-0.00313
0.92	-0.00315
0.93	-0.00316
0.94	-0.00317
0.95	-0.00320
0.96	-0.00329
0.97	-0.00339
0.98	-0.00350
0.99	-0.00354
1	-0.00343
1.01	-0.00318
1.02	-0.00285
1.03	-0.00251
1.04	-0.00220
1.05	-0.00208
1.06	-0.00216
1.07	-0.00240
1.08	-0.00272
1.09	-0.00303
1.1	-0.00334
1.11	-0.00364
1.12	-0.00397
1.13	-0.00427
1.14	-0.00435
1.15	-0.00418
1.16	-0.00381
1.17	-0.00337
1.18	-0.00296
1.19	-0.00275
1.2	-0.00277
1.21	-0.00299
1.22	-0.00314
1.23	-0.00307
1.24	-0.00272
1.25	-0.00222
1.26	-0.00173
1.27	-0.00148
1.28	-0.00167
1.29	-0.00226
1.3	-0.00307
1.31	-0.00392
1.32	-0.00477
1.33	-0.00559
1.34	-0.00636
1.35	-0.00680
1.36	-0.00670
1.37	-0.00617
1.38	-0.00542
1.39	-0.00465
1.4	-0.00392
1.41	-0.00322
1.42	-0.00247
1.43	-0.00163
1.44	-0.00074
1.45	0.00019
1.46	0.00080
1.47	0.00077
1.48	0.00009
1.49	-0.00095
1.5	-0.00206
1.51	-0.00314
1.52	-0.00417
1.53	-0.00523
1.54	-0.00626
1.55	-0.00687
1.56	-0.00681
1.57	-0.00622
1.58	-0.00537
1.59	-0.00450
1.6	-0.00374
1.61	-0.00332
1.62	-0.00360
1.63	-0.00455
1.64	-0.00589
1.65	-0.00734
1.66	-0.00872
1.67	-0.00955
1.68	-0.00927
1.69	-0.00792
1.7	-0.00592
1.71	-0.00376
1.72	-0.00189
1.73	-0.00058
1.74	0.00023
1.75	0.00083
1.76	0.00144
1.77	0.00216
1.78	0.00299
1.79	0.00381
1.8	0.00416
1.81	0.00340
1.82	0.00149
1.83	-0.00117
1.84	-0.00406
1.85	-0.00680
1.86	-0.00870
1.87	-0.00926
1.88	-0.00869
1.89	-0.00761
1.9	-0.00652
1.91	-0.00583
1.92	-0.00570
1.93	-0.00595
1.94	-0.00635
1.95	-0.00671
1.96	-0.00698
1.97	-0.00722
1.98	-0.00743
1.99	-0.00738
2	-0.00689
2.01	-0.00602
2.02	-0.00495
2.03	-0.00377
2.04	-0.00150
2.05	0.00314
2.06	0.00929
2.07	0.01375
2.08	0.01486
2.09	0.01319
2.1	0.01040
2.11	0.00777
2.12	0.00504
2.13	0.00070
2.14	-0.00598
2.15	-0.01446
2.16	-0.02239
2.17	-0.02447
2.18	-0.01823
2.19	-0.00588
2.2	0.00626
2.21	0.01277
2.22	0.01313
2.23	0.01017
2.24	0.00699
2.25	0.00511
2.26	0.00433
2.27	0.00375
2.28	0.00267
2.29	0.00097
2.3	-0.00103
2.31	-0.00299
2.32	-0.00479
