t(s)	a(g)
0	0.00000
0.01	0.00000
0.02	-0.00003
0.03	-0.00003
0.04	-0.00003
0.05	-0.00003
0.06	-0.00003
0.07	-0.00003
0.08	-0.00003
0.09	-0.00003
0.1	-0.00003
0.11	-0.00003
0.12	-0.00003
0.13	-0.00003
0.14	-0.00003
0.15	-0.00003
0.16	-0.00003
0.17	-0.00003
0.18	-0.00003
0.19	-0.00003
0.2	-0.00003
0.21	-0.00003
0.22	-0.00003
0.23	-0.00003
0.24	-0.00003
0.25	-0.00003
0.26	-0.00003
0.27	-0.00003
0.28	-0.00003
0.29	-0.00003
0.3	-0.00003
0.31	-0.00003
0.32	-0.00003
0.33	-0.00003
0.34	-0.00003
0.35	-0.00003
0.36	-0.00003
0.37	-0.00003
0.38	-0.00003
0.39	-0.00003
0.4	-0.00003
0.41	-0.00003
0.42	-0.00003
0.43	-0.00003
0.44	-0.00003
0.45	-0.00003
0.46	-0.00003
0.47	-0.00003
0.48	-0.00003
0.49	-0.00003
0.5	-0.00003
0.51	-0.00003
0.52	-0.00003
0.53	-0.00003
0.54	-0.00003
0.55	-0.00003
0.56	-0.00003
0.57	-0.00003
0.58	-0.00003
0.59	-0.00003
0.6	-0.00003
0.61	-0.00003
0.62	-0.00003
0.63	-0.00003
0.64	-0.00003
0.65	-0.00003
0.66	-0.00003
0.67	-0.00003
0.68	-0.00003
0.69	-0.00003
0.7	-0.00003
0.71	-0.00003
0.72	-0.00003
0.73	-0.00003
0.74	-0.00003
0.75	-0.00003
0.76	-0.00003
0.77	-0.00003
0.78	-0.00003
0.79	-0.00003
0.8	-0.00003
0.81	-0.00003
0.82	-0.00001
0.83	-0.00001
0.84	-0.00001
0.85	-0.00003
0.86	-0.00003
0.87	-0.00003
0.88	-0.00003
0.89	-0.00003
0.9	-0.00003
0.91	-0.00003
0.92	-0.00003
0.93	-0.00003
0.94	-0.00003
0.95	-0.00003
0.96	-0.00003
0.97	-0.00003
0.98	-0.00003
0.99	-0.00003
1	-0.00003
1.01	-0.00003
1.02	-0.00003
1.03	-0.00003
1.04	-0.00003
1.05	-0.00003
1.06	-0.00003
1.07	-0.00003
1.08	-0.00003
1.09	-0.00003
1.1	-0.00003
1.11	-0.00003
1.12	-0.00003
1.13	-0.00003
1.14	-0.00001
1.15	0.00000
1.16	0.00002
1.17	0.00000
1.18	0.00002
1.19	-0.00001
1.2	-0.00003
1.21	-0.00001
1.22	0.00002
1.23	0.00002
1.24	-0.00001
1.25	-0.00003
1.26	-0.00003
1.27	-0.00003
1.28	-0.00003
1.29	-0.00003
1.3	-0.00003
1.31	-0.00003
1.32	-0.00003
1.33	-0.00003
1.34	-0.00003
1.35	0.00000
1.36	0.00002
1.37	0.00000
1.38	-0.00001
1.39	-0.00005
1.4	-0.00005
1.41	-0.00005
1.42	-0.00003
1.43	-0.00003
1.44	-0.00003
1.45	-0.00003
1.46	-0.00003
1.47	0.00002
1.48	0.00004
1.49	0.00000
1.5	-0.00003
1.51	-0.00001
1.52	0.00002
1.53	0.00004
1.54	0.00004
1.55	0.00004
1.56	0.00000
1.57	-0.00001
1.58	-0.00003
1.59	-0.00005
1.6	-0.00007
1.61	-0.00009
1.62	-0.00007
1.63	-0.00009
1.64	-0.00005
1.65	-0.00003
1.66	0.00002
1.67	0.00005
1.68	0.00002
1.69	-0.00001
1.7	-0.00005
1.71	-0.00005
1.72	-0.00001
1.73	0.00009
1.74	0.00015
1.75	0.00011
1.76	0.00002
1.77	-0.00003
1.78	-0.00003
1.79	-0.00003
1.8	-0.00001
1.81	-0.00003
1.82	-0.00003
1.83	-0.00003
1.84	-0.00003
1.85	0.00004
1.86	0.00006
1.87	0.00004
1.88	-0.00001
1.89	-0.00005
1.9	-0.00009
1.91	-0.00005
1.92	0.00004
1.93	0.00004
1.94	0.00005
1.95	0.00006
1.96	0.00002
1.97	-0.00001
1.98	-0.00003
1.99	-0.00003
2	-0.00003
2.01	-0.00003
2.02	-0.00003
2.03	-0.00001
2.04	0.00004
2.05	0.00008
2.06	0.00004
2.07	-0.00001
2.08	-0.00003
2.09	-0.00003
2.1	-0.00003
2.11	-0.00001
2.12	-0.00003
2.13	-0.00003
2.14	-0.00003
2.15	-0.00003
2.16	-0.00001
2.17	-0.00001
2.18	-0.00003
2.19	-0.00009
2.2	-0.00014
2.21	-0.00009
2.22	-0.00003
2.23	-0.00001
2.24	-0.00003
2.25	-0.00003
2.26	-0.00001
2.27	0.00004
2.28	0.00009
2.29	0.00008
2.3	0.00009
2.31	0.00008
2.32	0.00002
2.33	-0.00003
2.34	-0.00005
2.35	-0.00003
2.36	0.00005
2.37	0.00023
2.38	0.00036
2.39	0.00047
2.4	0.00050
2.41	0.00042
2.42	0.00032
2.43	0.00014
2.44	0.00000
2.45	-0.00005
2.46	-0.00003
2.47	-0.00002
2.48	-0.00002
2.49	-0.00003
2.5	-0.00003
2.51	-0.00003
2.52	-0.00003
2.53	-0.00003
2.54	-0.00003
2.55	-0.00002
2.56	-0.00002
2.57	-0.00002
2.58	-0.00003
2.59	-0.00005
2.6	0.00000
2.61	0.00014
2.62	0.00025
2.63	0.00024
2.64	0.00016
2.65	0.00005
2.66	-0.00003
2.67	-0.00003
2.68	-0.00002
2.69	-0.00003
2.7	-0.00003
2.71	-0.00002
2.72	0.00006
2.73	0.00014
2.74	0.00007
2.75	-0.00002
2.76	-0.00005
2.77	-0.00003
2.78	-0.00002
2.79	-0.00002
2.8	-0.00003
2.81	-0.00006
2.82	-0.00002
2.83	0.00024
2.84	0.00059
2.85	0.00075
2.86	0.00059
2.87	0.00023
2.88	0.00000
2.89	-0.00003
2.9	-0.00005
2.91	-0.00027
2.92	-0.00061
2.93	-0.00086
