t(s)	a(g)
0	0
0.01	0.00022
0.02	0.00022
0.03	0.00022
0.04	0.00022
0.05	0.00022
0.06	0.00022
0.07	0.00022
0.08	0.00022
0.09	0.00022
0.1	0.00022
0.11	0.00022
0.12	0.00021
0.13	0.00021
0.14	0.00021
0.15	0.00021
0.16	0.00021
0.17	0.00021
0.18	0.00021
0.19	0.00021
0.2	0.00021
0.21	0.00021
0.22	0.00021
0.23	0.00021
0.24	0.00021
0.25	0.00021
0.26	0.00021
0.27	0.00021
0.28	0.00021
0.29	0.00021
0.3	0.00021
0.31	0.00021
0.32	0.00021
0.33	0.00021
0.34	0.00021
0.35	0.00021
0.36	0.00021
0.37	0.00021
0.38	0.00021
0.39	0.00021
0.4	0.00021
0.41	0.00021
0.42	0.00021
0.43	0.00021
0.44	0.00021
0.45	0.00021
0.46	0.00021
0.47	0.00021
0.48	0.00021
0.49	0.00021
0.5	0.00021
0.51	0.00021
0.52	0.00021
0.53	0.00021
0.54	0.00021
0.55	0.00021
0.56	0.00021
0.57	0.00021
0.58	0.00021
0.59	0.0002
0.6	0.00021
0.61	0.00021
0.62	0.00021
0.63	0.00021
0.64	0.00021
0.65	0.0002
0.66	0.00021
0.67	0.00021
0.68	0.0002
0.69	0.0002
0.7	0.0002
0.71	0.00021
0.72	0.00021
0.73	0.0002
0.74	0.00021
0.75	0.00021
0.76	0.0002
0.77	0.0002
0.78	0.0002
0.79	0.0002
0.8	0.00021
0.81	0.0002
0.82	0.0002
0.83	0.0002
0.84	0.0002
0.85	0.0002
0.86	0.0002
0.87	0.0002
0.88	0.0002
0.89	0.0002
0.9	0.0002
0.91	0.0002
0.92	0.0002
0.93	0.0002
0.94	0.0002
0.95	0.0002
0.96	0.0002
0.97	0.0002
0.98	0.00021
0.99	0.0002
1	0.0002
1.01	0.0002
1.02	0.0002
1.03	0.0002
1.04	0.0002
1.05	0.00019
1.06	0.0002
1.07	0.0002
1.08	0.00019
1.09	0.00019
1.1	0.0002
1.11	0.00019
1.12	0.0002
1.13	0.0002
1.14	0.0002
1.15	0.00019
1.16	0.00019
1.17	0.00019
1.18	0.00019
1.19	0.00019
1.2	0.00019
1.21	0.0002
1.22	0.00019
1.23	0.00019
1.24	0.00019
1.25	0.00019
