t(s)	a(g)
0	0.00000
0.01	-0.00059
0.02	-0.00058
0.03	-0.00058
0.04	-0.00058
0.05	-0.00058
0.06	-0.00058
0.07	-0.00058
0.08	-0.00058
0.09	-0.00058
0.1	-0.00058
0.11	-0.00058
0.12	-0.00056
0.13	-0.00058
0.14	-0.00057
0.15	-0.00057
0.16	-0.00058
0.17	-0.00055
0.18	-0.00058
0.19	-0.00057
0.2	-0.00056
0.21	-0.00058
0.22	-0.00055
0.23	-0.00054
0.24	-0.00055
0.25	-0.00056
0.26	-0.00058
0.27	-0.00062
0.28	-0.00054
0.29	-0.00053
0.3	-0.00056
0.31	-0.00052
0.32	-0.00053
0.33	-0.00059
0.34	-0.00047
0.35	-0.00060
0.36	-0.00052
0.37	-0.00051
0.38	-0.00051
0.39	-0.00050
0.4	-0.00051
0.41	-0.00051
0.42	-0.00055
0.43	-0.00059
0.44	-0.00049
0.45	-0.00053
0.46	-0.00035
0.47	-0.00049
0.48	-0.00055
0.49	-0.00045
0.5	-0.00056
0.51	-0.00045
0.52	-0.00058
0.53	-0.00045
0.54	-0.00038
0.55	-0.00069
0.56	-0.00052
0.57	-0.00045
0.58	-0.00036
0.59	-0.00070
0.6	-0.00045
0.61	-0.00038
0.62	-0.00041
0.63	-0.00079
0.64	-0.00030
0.65	-0.00041
0.66	-0.00042
0.67	-0.00073
0.68	-0.00050
0.69	-0.00041
0.7	-0.00050
0.71	-0.00031
0.72	-0.00061
0.73	-0.00037
0.74	-0.00037
0.75	-0.00043
0.76	-0.00033
0.77	-0.00023
0.78	-0.00020
0.79	-0.00041
0.8	-0.00029
0.81	-0.00018
0.82	-0.00066
0.83	-0.00045
0.84	-0.00040
0.85	-0.00070
0.86	-0.00048
0.87	-0.00050
0.88	-0.00057
0.89	-0.00054
0.9	-0.00028
0.91	-0.00052
0.92	-0.00075
0.93	-0.00050
0.94	0.00051
0.95	0.00011
0.96	-0.00027
0.97	0.00005
0.98	-0.00036
0.99	-0.00089
1	-0.00026
1.01	-0.00077
1.02	-0.00016
1.03	-0.00097
1.04	-0.00125
1.05	-0.00016
1.06	-0.00122
1.07	-0.00016
1.08	-0.00066
1.09	-0.00055
1.1	-0.00033
1.11	-0.00008
1.12	-0.00069
1.13	-0.00077
1.14	0.00007
1.15	-0.00034
1.16	-0.00027
1.17	-0.00004
1.18	-0.00054
1.19	-0.00100
1.2	0.00001
1.21	-0.00018
1.22	0.00023
1.23	-0.00065
1.24	0.00008
1.25	-0.00158
1.26	-0.00101
1.27	-0.00011
1.28	0.00021
1.29	-0.00036
1.3	-0.00005
1.31	0.00068
1.32	-0.00054
1.33	0.00013
1.34	-0.00184
1.35	-0.00014
1.36	0.00071
1.37	0.00011
1.38	-0.00015
1.39	-0.00065
1.4	-0.00095
1.41	-0.00039
1.42	-0.00013
1.43	0.00051
1.44	0.00056
1.45	-0.00065
1.46	0.00016
1.47	-0.00075
1.48	0.00014
1.49	0.00037
1.5	-0.00106
1.51	-0.00114
1.52	0.00057
1.53	-0.00017
1.54	-0.00112
1.55	-0.00113
1.56	-0.00021
1.57	-0.00075
1.58	0.00041
1.59	0.00032
1.6	0.00068
1.61	0.00005
1.62	-0.00007
1.63	-0.00069
1.64	0.00109
1.65	-0.00077
1.66	-0.00054
1.67	-0.00074
1.68	-0.00159
1.69	-0.00031
1.7	-0.00020
1.71	0.00117
1.72	0.00045
1.73	-0.00064
1.74	-0.00022
1.75	0.00005
1.76	0.00146
1.77	-0.00041
1.78	0.00065
1.79	0.00135
1.8	0.00058
1.81	0.00049
1.82	-0.00174
1.83	0.00039
1.84	0.00038
1.85	-0.00063
1.86	-0.00149
1.87	0.00073
1.88	-0.00116
1.89	0.00013
1.9	-0.00075
1.91	-0.00095
1.92	-0.00076
1.93	-0.00077
1.94	0.00068
1.95	-0.00123
1.96	-0.00028
1.97	0.00026
1.98	0.00079
1.99	-0.00113
2	0.00072
2.01	0.00122
2.02	-0.00071
2.03	0.00006
2.04	-0.00208
2.05	-0.00142
2.06	0.00076
2.07	0.00002
2.08	0.00055
2.09	0.00012
2.1	-0.00211
2.11	0.00057
2.12	-0.00002
2.13	0.00023
2.14	-0.00065
2.15	0.00046
2.16	-0.00131
2.17	-0.00034
2.18	-0.00028
2.19	0.00211
2.2	-0.00167
2.21	-0.00018
2.22	0.00149
2.23	0.00023
2.24	-0.00096
2.25	0.00025
2.26	0.00289
2.27	0.00058
2.28	-0.00179
2.29	0.00142
2.3	-0.00081
2.31	-0.00109
2.32	-0.00038
2.33	-0.00242
2.34	0.00108
2.35	0.00096
2.36	0.00163
2.37	-0.00204
2.38	0.00158
2.39	0.00168
2.4	0.00107
2.41	-0.00200
2.42	0.00091
2.43	0.00189
2.44	0.00045
2.45	0.00122
2.46	0.00025
2.47	0.00259
2.48	0.00242
2.49	-0.00073
2.5	0.00325
2.51	0.00095
2.52	-0.00041
2.53	-0.00034
2.54	0.00019
2.55	-0.00067
2.56	0.00104
2.57	-0.00033
2.58	-0.00074
2.59	0.00000
2.6	0.00001
2.61	-0.00091
2.62	-0.00069
2.63	0.00026
2.64	0.00015
2.65	0.00163
2.66	0.00020
2.67	-0.00122
2.68	-0.00125
2.69	0.00045
2.7	0.00068
2.71	0.00146
2.72	0.00125
2.73	0.00068
2.74	-0.00013
2.75	0.00168
2.76	0.00017
2.77	0.00097
2.78	-0.00051
2.79	-0.00072
2.8	0.00059
2.81	-0.00074
2.82	0.00016
2.83	-0.00175
2.84	-0.00021
2.85	0.00154
2.86	0.00071
2.87	-0.00114
2.88	0.00092
2.89	-0.00058
2.9	0.00017
2.91	0.00112
2.92	-0.00173
2.93	0.00058
2.94	0.00029
2.95	0.00089
2.96	0.00299
2.97	-0.00050
2.98	0.00058
2.99	0.00084
3	-0.00199
3.01	0.00197
3.02	0.00138
3.03	0.00132
3.04	0.00125
3.05	-0.00061
3.06	-0.00246
3.07	0.00162
3.08	-0.00035
3.09	0.00013
3.1	0.00046
3.11	0.00102
3.12	-0.00116
3.13	-0.00276
3.14	0.00165
3.15	-0.00219
3.16	0.00175
3.17	-0.00039
3.18	0.00015
3.19	0.00059
3.2	0.00053
3.21	0.00324
3.22	0.00046
3.23	-0.00095
3.24	0.00095
3.25	-0.00086
3.26	0.00080
3.27	-0.00189
3.28	0.00068
3.29	0.00139
3.3	0.00210
3.31	0.00081
3.32	0.00212
3.33	-0.00280
3.34	0.00261
3.35	-0.00030
3.36	-0.00062
3.37	0.00143
3.38	0.00063
3.39	0.00158
3.4	-0.00006
3.41	0.00128
3.42	-0.00086
3.43	0.00010
3.44	-0.00041
3.45	0.00113
3.46	-0.00150
3.47	0.00097
3.48	0.00028
3.49	0.00178
3.5	0.00023
3.51	0.00048
3.52	0.00053
3.53	0.00014
3.54	0.00062
3.55	0.00101
3.56	0.00042
3.57	-0.00270
3.58	0.00131
3.59	0.00023
3.6	0.00020
3.61	0.00171
3.62	0.00065
3.63	-0.00036
3.64	0.00067
3.65	0.00131
3.66	-0.00115
3.67	-0.00104
3.68	0.00149
3.69	-0.00313
3.7	0.00024
3.71	-0.00111
3.72	-0.00122
3.73	0.00074
3.74	0.00163
3.75	-0.00041
3.76	0.00052
3.77	0.00111
3.78	0.00006
3.79	-0.00029
3.8	0.00117
3.81	0.00063
3.82	0.00113
3.83	-0.00095
3.84	0.00007
3.85	0.00196
3.86	-0.00035
3.87	-0.00171
3.88	-0.00068
3.89	0.00032
3.9	0.00065
