t(s)	a(g)
0.000000000	0.000101250
0.010000000	-0.000022500
0.020000000	0.000067500
0.030000000	0.000082500
0.040000000	-0.000041250
0.050000000	-0.000007500
0.060000000	0.000288750
0.070000000	0.000075000
0.080000000	0.000075000
0.090000000	0.000168750
0.100000000	0.000127500
0.110000000	0.000202500
0.120000000	0.000296250
0.130000000	0.000123750
0.140000000	0.000105000
0.150000000	0.000176250
0.160000000	-0.000003750
0.170000000	0.000142500
0.180000000	0.000236250
0.190000000	0.000183750
0.200000000	0.000165000
0.210000000	0.000090000
0.220000000	0.000052500
0.230000000	-0.000078750
0.240000000	0.000161250
0.250000000	0.000146250
0.260000000	0.000303750
0.270000000	0.000116250
0.280000000	0.000202500
0.290000000	0.000078750
0.300000000	0.000108750
0.310000000	0.000015000
0.320000000	0.000060000
0.330000000	0.000183750
0.340000000	0.000138750
0.350000000	0.000041250
0.360000000	0.000296250
0.370000000	0.000022500
0.380000000	0.000097500
0.390000000	0.000138750
0.400000000	0.000217500
0.410000000	0.000191250
0.420000000	0.000131250
0.430000000	0.000120000
0.440000000	0.000131250
0.450000000	0.000228750
0.460000000	0.000108750
0.470000000	0.000112500
0.480000000	0.000191250
0.490000000	0.000243750
0.500000000	0.000131250
0.510000000	0.000116250
0.520000000	0.000142500
0.530000000	0.000157500
0.540000000	0.000176250
0.550000000	0.000116250
0.560000000	0.000108750
0.570000000	0.000165000
0.580000000	-0.000026250
0.590000000	0.000161250
0.600000000	0.000135000
0.610000000	0.000138750
0.620000000	0.000243750
0.630000000	-0.000018750
0.640000000	0.000307500
0.650000000	0.000075000
0.660000000	0.000172500
0.670000000	0.000202500
0.680000000	0.000003750
0.690000000	0.000157500
0.700000000	0.000176250
0.710000000	0.000333750
0.720000000	0.000165000
0.730000000	0.000071250
0.740000000	0.000401250
0.750000000	0.000041250
0.760000000	0.000176250
0.770000000	0.000225000
0.780000000	0.000063750
0.790000000	0.000120000
0.800000000	0.000180000
0.810000000	0.000135000
0.820000000	0.000187500
0.830000000	0.000003750
0.840000000	0.000213750
0.850000000	0.000086250
0.860000000	0.000123750
0.870000000	0.000150000
0.880000000	0.000168750
0.890000000	0.000172500
0.900000000	0.000120000
0.910000000	0.000112500
0.920000000	0.000236250
0.930000000	0.000090000
0.940000000	0.000101250
0.950000000	0.000165000
0.960000000	0.000281250
0.970000000	0.000120000
0.980000000	0.000093750
0.990000000	0.000146250
1.000000000	0.000146250
1.010000000	0.000011250
1.020000000	0.000138750
1.030000000	0.000048750
1.040000000	0.000157500
1.050000000	0.000071250
1.060000000	0.000161250
1.070000000	0.000037500
1.080000000	0.000153750
1.090000000	0.000195000
1.100000000	0.000202500
1.110000000	0.000135000
1.120000000	0.000262500
1.130000000	0.000090000
1.140000000	0.000090000
1.150000000	0.000082500
1.160000000	0.000221250
1.170000000	0.000093750
1.180000000	0.000116250
1.190000000	0.000258750
1.200000000	0.000221250
1.210000000	0.000176250
1.220000000	0.000153750
1.230000000	-0.000000000
1.240000000	0.000116250
1.250000000	0.000075000
1.260000000	-0.000011250
1.270000000	0.000026250
1.280000000	0.000097500
1.290000000	0.000225000
1.300000000	0.000078750
1.310000000	0.000236250
1.320000000	0.000157500
1.330000000	0.000015000
1.340000000	0.000146250
1.350000000	0.000060000
1.360000000	0.000270000
1.370000000	0.000097500
1.380000000	0.000048750
1.390000000	0.000108750
1.400000000	0.000108750
1.410000000	0.000048750
1.420000000	0.000176250
1.430000000	0.000255000
1.440000000	0.000236250
1.450000000	0.000063750
1.460000000	0.000135000
1.470000000	0.000183750
1.480000000	0.000153750
1.490000000	0.000105000
1.500000000	0.000056250
1.510000000	0.000367500
1.520000000	0.000292500
1.530000000	0.000176250
1.540000000	0.000157500
1.550000000	0.000097500
1.560000000	0.000180000
1.570000000	-0.000018750
1.580000000	0.000183750
1.590000000	0.000063750
1.600000000	0.000202500
1.610000000	-0.000033750
1.620000000	0.000153750
1.630000000	0.000041250
1.640000000	0.000176250
1.650000000	0.000086250
1.660000000	0.000300000
1.670000000	0.000120000
1.680000000	0.000048750
1.690000000	0.000183750
1.700000000	0.000255000
