t(s)	a(g)
0.000000000	0.000022320
0.010000000	0.000066960
0.020000000	-0.000096720
0.030000000	-0.000145080
0.040000000	-0.000089280
0.050000000	-0.000148800
0.060000000	-0.000074400
0.070000000	-0.000186000
0.080000000	0.000074400
0.090000000	0.000156240
0.100000000	-0.000182280
0.110000000	-0.000081840
0.120000000	-0.000137640
0.130000000	-0.000100440
0.140000000	-0.000126480
0.150000000	-0.000107880
0.160000000	-0.000119040
0.170000000	-0.000111600
0.180000000	-0.000115320
0.190000000	-0.000115320
0.200000000	-0.000111600
0.210000000	-0.000115320
0.220000000	-0.000111600
0.230000000	-0.000115320
0.240000000	-0.000111600
0.250000000	-0.000115320
0.260000000	-0.000111600
0.270000000	-0.000115320
0.280000000	-0.000111600
0.290000000	-0.000115320
0.300000000	-0.000111600
0.310000000	-0.000115320
0.320000000	-0.000115320
0.330000000	-0.000115320
0.340000000	-0.000115320
0.350000000	-0.000115320
0.360000000	-0.000115320
0.370000000	-0.000115320
0.380000000	-0.000115320
0.390000000	-0.000115320
0.400000000	-0.000119040
0.410000000	-0.000119040
0.420000000	-0.000119040
0.430000000	-0.000119040
0.440000000	-0.000119040
0.450000000	-0.000119040
0.460000000	-0.000122760
0.470000000	-0.000122760
0.480000000	-0.000122760
0.490000000	-0.000122760
0.500000000	-0.000122760
0.510000000	-0.000126480
0.520000000	-0.000126480
0.530000000	-0.000126480
0.540000000	-0.000126480
0.550000000	-0.000130200
0.560000000	-0.000130200
0.570000000	-0.000130200
0.580000000	-0.000133920
0.590000000	-0.000133920
0.600000000	-0.000133920
0.610000000	-0.000133920
0.620000000	-0.000137640
0.630000000	-0.000137640
0.640000000	-0.000137640
0.650000000	-0.000141360
0.660000000	-0.000141360
0.670000000	-0.000141360
0.680000000	-0.000145080
0.690000000	-0.000145080
0.700000000	-0.000145080
0.710000000	-0.000148800
0.720000000	-0.000148800
0.730000000	-0.000152520
0.740000000	-0.000152520
0.750000000	-0.000156240
0.760000000	-0.000156240
0.770000000	-0.000159960
0.780000000	-0.000156240
0.790000000	-0.000163680
0.800000000	-0.000159960
0.810000000	-0.000167400
0.820000000	-0.000159960
0.830000000	-0.000174840
0.840000000	-0.000163680
0.850000000	-0.000178560
0.860000000	-0.000167400
0.870000000	-0.000182280
0.880000000	-0.000171120
0.890000000	-0.000186000
0.900000000	-0.000174840
0.910000000	-0.000186000
0.920000000	-0.000182280
0.930000000	-0.000186000
0.940000000	-0.000197160
0.950000000	0.000152520
0.960000000	-0.000130200
0.970000000	-0.000230640
0.980000000	-0.000171120
0.990000000	-0.000219480
1.000000000	-0.000182280
1.010000000	-0.000215760
1.020000000	-0.000193440
1.030000000	-0.000219480
1.040000000	-0.000200880
1.050000000	-0.000219480
1.060000000	-0.000204600
1.070000000	-0.000219480
1.080000000	-0.000212040
1.090000000	-0.000223200
1.100000000	-0.000215760
1.110000000	-0.000223200
1.120000000	-0.000223200
1.130000000	-0.000226920
1.140000000	-0.000226920
1.150000000	-0.000230640
1.160000000	-0.000230640
1.170000000	-0.000234360
1.180000000	-0.000234360
1.190000000	-0.000238080
1.200000000	-0.000238080
1.210000000	-0.000241800
1.220000000	-0.000245520
1.230000000	-0.000245520
1.240000000	-0.000245520
1.250000000	-0.000249240
1.260000000	-0.000249240
1.270000000	-0.000252960
1.280000000	-0.000252960
1.290000000	-0.000256680
1.300000000	-0.000256680
