t(s)	a(g)
0.000000000	0.000000000
0.010000000	-0.001321300
0.020000000	-0.001328600
0.030000000	-0.001335900
0.040000000	-0.001343200
0.050000000	-0.001350500
0.060000000	-0.001357800
0.070000000	-0.001357800
0.080000000	-0.001365100
0.090000000	-0.001372400
0.100000000	-0.001372400
0.110000000	-0.001372400
0.120000000	-0.001379700
0.130000000	-0.001387000
0.140000000	-0.001408900
0.150000000	-0.001452700
0.160000000	-0.001467300
0.170000000	-0.001416200
0.180000000	-0.001284800
0.190000000	-0.001175300
0.200000000	-0.001197200
0.210000000	-0.001372400
0.220000000	-0.001620600
0.230000000	-0.001700900
0.240000000	-0.001511100
0.250000000	-0.001219100
0.260000000	-0.001095000
0.270000000	-0.001014700
0.280000000	-0.000759200
0.290000000	-0.000452600
0.300000000	-0.000554800
0.310000000	-0.001241000
0.320000000	-0.002007500
0.330000000	-0.002248400
0.340000000	-0.001861500
0.350000000	-0.001503800
0.360000000	-0.001540300
0.370000000	-0.001511100
0.380000000	-0.000941700
0.390000000	0.000489100
0.400000000	0.001591400
0.410000000	0.000868700
0.420000000	-0.001525700
0.430000000	-0.003577000
0.440000000	-0.003642700
0.450000000	-0.002401700
0.460000000	-0.001379700
0.470000000	-0.000357700
0.480000000	0.000671600
0.490000000	0.000620500
0.500000000	-0.000788400
0.510000000	-0.002343300
0.520000000	-0.003379900
0.530000000	-0.002883500
0.540000000	-0.000547500
0.550000000	0.002299500
0.560000000	0.003869000
0.570000000	0.004328900
0.580000000	0.004007700
0.590000000	0.003197400
0.600000000	0.001803100
0.610000000	0.000394200
0.620000000	-0.000730000
0.630000000	-0.004029600
0.640000000	-0.007416800
0.650000000	-0.008212500
0.660000000	-0.006745200
0.670000000	-0.002679100
0.680000000	0.001832300
0.690000000	0.002284900
0.700000000	0.000540200
0.710000000	-0.000562100
0.720000000	-0.001387000
0.730000000	-0.001430800
0.740000000	-0.001357800
0.750000000	0.000131400
0.760000000	0.004526000
0.770000000	0.007278100
0.780000000	0.004686600
0.790000000	-0.001744700
0.800000000	-0.007051800
0.810000000	-0.008577500
0.820000000	-0.010606900
0.830000000	-0.014855500
0.840000000	-0.015826400
0.850000000	-0.009803900
0.860000000	-0.003124400
0.870000000	-0.001270200
0.880000000	-0.000613200
0.890000000	0.001627900
0.900000000	0.002336000
0.910000000	0.000175200
0.920000000	-0.003394500
0.930000000	-0.003175500
0.940000000	0.005110000
0.950000000	0.011190900
0.960000000	0.007489800
0.970000000	-0.000219000
0.980000000	-0.005686700
0.990000000	-0.007964300
1.000000000	-0.006913100
1.010000000	-0.005394700
1.020000000	-0.007117500
1.030000000	-0.009782000
1.040000000	-0.010314900
1.050000000	-0.011826000
1.060000000	-0.017410500
1.070000000	-0.023608200
1.080000000	-0.022148200
1.090000000	-0.016957900
1.100000000	-0.011227400
1.110000000	-0.002190000
1.120000000	0.007526300
1.130000000	0.015622000
1.140000000	0.020330500
1.150000000	0.021243000
1.160000000	0.020476500
1.170000000	0.020060400
1.180000000	0.014059800
1.190000000	-0.000766500
1.200000000	-0.020184500
1.210000000	-0.028703600
1.220000000	-0.023579000
1.230000000	-0.017505400
1.240000000	-0.009745500
1.250000000	0.003781400
1.260000000	0.018885100
1.270000000	0.025747100
1.280000000	0.021462000
1.290000000	0.010344100
1.300000000	-0.008051900
