t(s)	a(g)
0.000000000	0.000000000
0.010000000	-0.000053247
0.020000000	-0.000042639
0.030000000	0.000026311
0.040000000	0.000063438
0.050000000	-0.000106280
0.060000000	-0.000079761
0.070000000	0.000047530
0.080000000	0.000015710
0.090000000	-0.000042630
0.100000000	-0.000026717
0.110000000	-0.000005501
0.120000000	-0.000074447
0.130000000	0.000036933
0.140000000	0.000036935
0.150000000	-0.000074441
0.160000000	-0.000053224
0.170000000	-0.000032007
0.180000000	0.000063462
0.190000000	-0.000010787
0.200000000	-0.000047911
0.210000000	-0.000016086
0.220000000	-0.000053210
0.230000000	0.000015742
0.240000000	-0.000005470
0.250000000	0.000005141
0.260000000	-0.000047894
0.270000000	-0.000079712
0.280000000	0.000026365
0.290000000	-0.000005454
0.300000000	-0.000021361
0.310000000	-0.000037269
0.320000000	-0.000031961
0.330000000	0.000021080
0.340000000	-0.000042560
0.350000000	-0.000090289
0.360000000	-0.000021336
0.370000000	0.000021098
0.380000000	-0.000010720
0.390000000	0.000021107
0.400000000	-0.000037229
0.410000000	-0.000074350
0.420000000	-0.000047827
0.430000000	-0.000042517
0.440000000	0.000015829
0.450000000	0.000005227
0.460000000	0.000021144
0.470000000	-0.000031887
0.480000000	-0.000074311
0.490000000	-0.000069001
0.500000000	-0.000026565
0.510000000	0.000084819
0.520000000	-0.000047767
0.530000000	-0.000037153
0.540000000	-0.000000020
0.550000000	-0.000079569
0.560000000	-0.000005309
0.570000000	-0.000005302
0.580000000	0.000005313
0.590000000	-0.000074235
0.600000000	-0.000058316
0.610000000	0.000058374
0.620000000	-0.000042389
0.630000000	-0.000026470
0.640000000	-0.000026461
0.650000000	-0.000042363
0.660000000	0.000015986
0.670000000	-0.000015827
0.680000000	-0.000031729
0.690000000	-0.000074150
0.700000000	-0.000005192
0.710000000	0.000047855
0.720000000	-0.000042298
0.730000000	-0.000063503
0.740000000	-0.000052886
0.750000000	-0.000010446
0.760000000	0.000037299
0.770000000	-0.000015728
0.780000000	-0.000063450
0.790000000	-0.000079350
0.800000000	-0.000015694
0.810000000	0.000042658
0.820000000	-0.000015672
0.830000000	0.000000252
0.840000000	-0.000068685
0.850000000	-0.000089887
0.860000000	0.000063933
0.870000000	-0.000042129
0.880000000	-0.000004990
0.890000000	0.000010934
0.900000000	-0.000116342
0.910000000	-0.000010254
0.920000000	-0.000015545
0.930000000	0.000026899
0.940000000	-0.000020820
0.950000000	-0.000068540
0.960000000	0.000026941
0.970000000	-0.000068511
0.980000000	-0.000026067
0.990000000	0.000000466
1.000000000	0.000011089
1.010000000	-0.000004806
1.020000000	-0.000068436
1.030000000	0.000005832
1.040000000	-0.000079012
1.050000000	-0.000004744
1.060000000	0.000016488
1.070000000	-0.000073659
1.080000000	0.000037735
1.090000000	-0.000047108
1.100000000	-0.000009965
1.110000000	-0.000025858
1.120000000	-0.000031145
1.130000000	0.000043125
1.140000000	-0.000121273
1.150000000	0.000016642
1.160000000	0.000011357
1.170000000	-0.000052269
1.180000000	0.000048519
1.190000000	-0.000078751
1.200000000	-0.000036302
1.210000000	-0.000052194
1.220000000	0.000032684
1.230000000	0.000043311
1.240000000	-0.000094566
1.250000000	0.000032743
1.260000000	-0.000089223
1.270000000	-0.000036165
1.280000000	0.000043411
1.290000000	-0.000036125
1.300000000	0.000059363
1.310000000	-0.000094424
1.320000000	-0.000067884
1.330000000	0.000001086
1.340000000	-0.000036020
1.350000000	0.000080684
1.360000000	-0.000051888
