t(s)	a(g)
0.000000000	-0.000020000
0.010000000	-0.000270000
0.020000000	-0.000270000
0.030000000	-0.000260000
0.040000000	-0.000260000
0.050000000	-0.000250000
0.060000000	-0.000250000
0.070000000	-0.000240000
0.080000000	-0.000240000
0.090000000	-0.000230000
0.100000000	-0.000220000
0.110000000	-0.000220000
0.120000000	-0.000210000
0.130000000	-0.000200000
0.140000000	-0.000210000
0.150000000	-0.000210000
0.160000000	-0.000220000
0.170000000	-0.000240000
0.180000000	-0.000230000
0.190000000	-0.000230000
0.200000000	-0.000300000
0.210000000	-0.000390000
0.220000000	-0.000410000
0.230000000	-0.000280000
0.240000000	0.000020000
0.250000000	0.000330000
0.260000000	0.000380000
0.270000000	0.000330000
0.280000000	0.000200000
0.290000000	0.000030000
0.300000000	-0.000080000
0.310000000	-0.000440000
0.320000000	-0.000880000
0.330000000	-0.001130000
0.340000000	-0.001360000
0.350000000	-0.001480000
0.360000000	-0.001310000
0.370000000	-0.001260000
0.380000000	-0.001420000
0.390000000	-0.001630000
0.400000000	-0.001310000
0.410000000	-0.000610000
0.420000000	-0.000120000
0.430000000	0.000840000
0.440000000	0.002060000
0.450000000	0.002340000
0.460000000	0.001520000
0.470000000	0.000160000
0.480000000	-0.001340000
0.490000000	-0.002110000
0.500000000	-0.002240000
0.510000000	-0.002530000
0.520000000	-0.001800000
0.530000000	0.000550000
0.540000000	0.001880000
0.550000000	0.001350000
0.560000000	0.000380000
0.570000000	-0.001300000
0.580000000	-0.002680000
0.590000000	-0.002700000
0.600000000	-0.002800000
0.610000000	-0.003850000
0.620000000	-0.003820000
0.630000000	-0.000760000
0.640000000	0.002460000
0.650000000	0.004610000
0.660000000	0.005410000
0.670000000	0.006330000
0.680000000	0.006140000
0.690000000	0.004570000
0.700000000	0.003030000
0.710000000	0.002000000
0.720000000	0.002050000
0.730000000	0.002950000
0.740000000	0.004100000
0.750000000	0.003890000
0.760000000	0.002030000
0.770000000	-0.000260000
0.780000000	-0.003640000
0.790000000	-0.008390000
0.800000000	-0.011250000
0.810000000	-0.010740000
0.820000000	-0.011170000
0.830000000	-0.013000000
0.840000000	-0.011440000
0.850000000	-0.008850000
0.860000000	-0.006070000
0.870000000	-0.002350000
0.880000000	-0.002140000
0.890000000	-0.004270000
0.900000000	-0.000720000
0.910000000	0.004500000
0.920000000	0.006810000
0.930000000	0.009320000
0.940000000	0.009320000
0.950000000	0.009330000
0.960000000	0.010350000
0.970000000	0.007650000
0.980000000	0.004350000
0.990000000	0.004460000
1.000000000	0.002760000
1.010000000	-0.002520000
1.020000000	-0.007790000
1.030000000	-0.012720000
1.040000000	-0.014930000
1.050000000	-0.014420000
1.060000000	-0.013940000
1.070000000	-0.011830000
1.080000000	-0.007570000
1.090000000	-0.004150000
1.100000000	0.000820000
1.110000000	0.004550000
1.120000000	0.008460000
1.130000000	0.016400000
1.140000000	0.024100000
1.150000000	0.026770000
1.160000000	0.025690000
1.170000000	0.025380000
1.180000000	0.023080000
1.190000000	0.015470000
1.200000000	0.005530000
1.210000000	-0.004190000
1.220000000	-0.011580000
1.230000000	-0.013800000
1.240000000	-0.013190000
1.250000000	-0.013990000
1.260000000	-0.016510000
1.270000000	-0.019530000
1.280000000	-0.012650000
1.290000000	-0.001380000
1.300000000	0.006370000
1.310000000	0.012880000
1.320000000	0.015640000
1.330000000	0.017040000
1.340000000	0.017340000
1.350000000	0.012460000
1.360000000	-0.002170000
1.370000000	-0.020200000
1.380000000	-0.030640000
1.390000000	-0.029860000
1.400000000	-0.021320000
1.410000000	-0.006590000
1.420000000	0.009070000
1.430000000	0.020990000
1.440000000	0.029030000
1.450000000	0.030050000
1.460000000	0.020070000
1.470000000	0.002610000
1.480000000	-0.011640000
1.490000000	-0.016340000
1.500000000	-0.016620000
1.510000000	-0.012030000
1.520000000	-0.005550000
1.530000000	0.001370000
1.540000000	0.006200000
1.550000000	0.005960000
1.560000000	0.000190000
1.570000000	-0.004970000
1.580000000	-0.007550000
1.590000000	-0.009020000
1.600000000	-0.002840000
1.610000000	0.003250000
1.620000000	0.004030000
1.630000000	0.003170000
1.640000000	-0.005000000
1.650000000	-0.016610000
1.660000000	-0.018660000
1.670000000	-0.010490000
1.680000000	-0.003720000
1.690000000	0.008380000
1.700000000	0.026550000
1.710000000	0.044300000
1.720000000	0.049980000
1.730000000	0.038810000
1.740000000	0.022650000
1.750000000	0.004640000
1.760000000	-0.011950000
1.770000000	-0.019620000
1.780000000	-0.019770000
1.790000000	-0.018380000
1.800000000	-0.015570000
1.810000000	-0.005730000
1.820000000	0.003460000
1.830000000	0.008750000
1.840000000	0.014690000
1.850000000	0.022710000
1.860000000	0.020010000
1.870000000	0.005090000
1.880000000	-0.016400000
1.890000000	-0.035020000
1.900000000	-0.046170000
1.910000000	-0.034490000
1.920000000	-0.006480000
1.930000000	0.012410000
1.940000000	0.026100000
1.950000000	0.037040000
1.960000000	0.027700000
1.970000000	0.012180000
1.980000000	-0.002600000
1.990000000	-0.015480000
2.000000000	-0.025390000
2.010000000	-0.031950000
2.020000000	-0.036650000
2.030000000	-0.040060000
2.040000000	-0.037920000
2.050000000	-0.029250000
2.060000000	-0.012250000
2.070000000	0.015780000
2.080000000	0.042680000
2.090000000	0.060090000
2.100000000	0.067080000
2.110000000	0.068610000
2.120000000	0.065230000
2.130000000	0.059880000
2.140000000	0.049350000
2.150000000	0.033400000
2.160000000	0.017470000
2.170000000	0.002690000
2.180000000	-0.011700000
2.190000000	-0.022550000
2.200000000	-0.034940000
2.210000000	-0.047590000
2.220000000	-0.050270000
2.230000000	-0.036770000
2.240000000	-0.011830000
2.250000000	0.024070000
2.260000000	0.053750000
2.270000000	0.054820000
2.280000000	0.033650000
2.290000000	0.011550000
2.300000000	-0.011260000
2.310000000	-0.027640000
2.320000000	-0.032190000
2.330000000	-0.034170000
2.340000000	-0.035600000
2.350000000	-0.028950000
2.360000000	-0.012300000
2.370000000	0.005220000
2.380000000	0.015720000
2.390000000	0.017270000
2.400000000	0.009940000
2.410000000	0.005310000
2.420000000	0.013330000
2.430000000	0.016520000
2.440000000	0.012300000
2.450000000	0.007260000
2.460000000	0.004290000
2.470000000	0.004480000
2.480000000	0.004650000
2.490000000	0.004110000
2.500000000	0.005280000
2.510000000	0.010430000
2.520000000	0.013800000
2.530000000	0.011330000
2.540000000	0.003600000
2.550000000	-0.005540000
2.560000000	-0.001250000
2.570000000	0.007140000
2.580000000	0.006800000
2.590000000	0.000590000
2.600000000	-0.008990000
2.610000000	-0.014710000
2.620000000	-0.016070000
2.630000000	-0.007980000
2.640000000	0.009780000
2.650000000	0.027660000
2.660000000	0.040180000
2.670000000	0.035960000
2.680000000	0.019710000
2.690000000	0.008340000
2.700000000	-0.001710000
2.710000000	-0.017280000
2.720000000	-0.034430000
2.730000000	-0.043070000
2.740000000	-0.038700000
2.750000000	-0.025150000
2.760000000	-0.015210000
2.770000000	-0.011960000
2.780000000	-0.008220000
2.790000000	0.002840000
2.800000000	0.018750000
2.810000000	0.026690000
2.820000000	0.008300000
2.830000000	-0.024360000
2.840000000	-0.039100000
2.850000000	-0.036550000
2.860000000	-0.032130000
2.870000000	-0.028150000
2.880000000	-0.027500000
2.890000000	-0.022790000
2.900000000	-0.010990000
2.910000000	-0.006040000
2.920000000	-0.009790000
2.930000000	-0.014440000
2.940000000	-0.008730000
2.950000000	0.004280000
2.960000000	0.018220000
2.970000000	0.023290000
2.980000000	0.025330000
2.990000000	0.024900000
3.000000000	0.014200000
3.010000000	-0.005740000
3.020000000	-0.026590000
3.030000000	-0.033920000
3.040000000	-0.028310000
3.050000000	-0.020960000
3.060000000	-0.014650000
3.070000000	-0.002840000
3.080000000	0.011110000
3.090000000	0.018830000
3.100000000	0.017120000
3.110000000	0.010700000
3.120000000	0.008100000
3.130000000	0.014310000
3.140000000	0.020570000
3.150000000	0.032860000
3.160000000	0.047670000
3.170000000	0.057210000
3.180000000	0.058110000
3.190000000	0.045530000
3.200000000	0.025090000
3.210000000	0.006670000
3.220000000	-0.011310000
3.230000000	-0.030520000
3.240000000	-0.042600000
3.250000000	-0.042580000
3.260000000	-0.031870000
3.270000000	-0.017560000
