t(s)	a(g)
0.000000000	0.000270000
0.010000000	0.000080000
0.020000000	0.000250000
0.030000000	0.000190000
0.040000000	0.000040000
0.050000000	0.000160000
0.060000000	0.000100000
0.070000000	0.000070000
0.080000000	0.000150000
0.090000000	0.000180000
0.100000000	0.000220000
0.110000000	0.000260000
0.120000000	0.000120000
0.130000000	-0.000000000
0.140000000	0.000160000
0.150000000	0.000150000
0.160000000	0.000070000
0.170000000	0.000260000
0.180000000	0.000290000
0.190000000	0.000120000
0.200000000	0.000070000
0.210000000	0.000070000
0.220000000	0.000080000
0.230000000	0.000210000
0.240000000	0.000180000
0.250000000	0.000140000
0.260000000	0.000240000
0.270000000	0.000100000
0.280000000	0.000070000
0.290000000	0.000150000
0.300000000	0.000060000
0.310000000	0.000150000
0.320000000	0.000210000
0.330000000	0.000170000
0.340000000	0.000230000
0.350000000	0.000110000
0.360000000	0.000040000
0.370000000	0.000140000
0.380000000	0.000100000
0.390000000	0.000100000
0.400000000	0.000210000
0.410000000	0.000140000
0.420000000	0.000190000
0.430000000	0.000220000
0.440000000	0.000090000
0.450000000	0.000170000
0.460000000	0.000150000
0.470000000	0.000090000
0.480000000	0.000140000
0.490000000	0.000210000
0.500000000	0.000230000
0.510000000	0.000120000
0.520000000	0.000140000
0.530000000	0.000070000
0.540000000	-0.000020000
0.550000000	0.000170000
0.560000000	0.000200000
0.570000000	0.000170000
0.580000000	0.000250000
0.590000000	0.000100000
0.600000000	0.000060000
0.610000000	0.000130000
0.620000000	0.000030000
0.630000000	0.000110000
0.640000000	0.000220000
0.650000000	0.000210000
0.660000000	0.000190000
0.670000000	0.000070000
0.680000000	0.000130000
0.690000000	0.000150000
0.700000000	0.000050000
0.710000000	0.000160000
0.720000000	0.000240000
0.730000000	0.000210000
0.740000000	0.000100000
0.750000000	0.000130000
0.760000000	0.000200000
0.770000000	0.000050000
0.780000000	0.000150000
0.790000000	0.000230000
0.800000000	0.000100000
0.810000000	0.000160000
0.820000000	0.000110000
0.830000000	0.000070000
0.840000000	0.000150000
0.850000000	0.000100000
0.860000000	0.000080000
0.870000000	0.000160000
0.880000000	0.000150000
0.890000000	0.000120000
0.900000000	0.000130000
0.910000000	0.000140000
0.920000000	0.000150000
0.930000000	0.000070000
0.940000000	0.000180000
0.950000000	0.000250000
0.960000000	0.000060000
0.970000000	0.000180000
0.980000000	0.000160000
0.990000000	0.000090000
1.000000000	0.000150000
1.010000000	0.000100000
1.020000000	0.000250000
1.030000000	0.000100000
1.040000000	0.000080000
1.050000000	0.000220000
1.060000000	0.000030000
1.070000000	0.000180000
1.080000000	0.000120000
1.090000000	0.000040000
1.100000000	0.000280000
1.110000000	0.000110000
1.120000000	0.000040000
1.130000000	0.000130000
1.140000000	0.000110000
1.150000000	0.000080000
1.160000000	0.000150000
1.170000000	0.000240000
1.180000000	0.000150000
1.190000000	0.000220000
1.200000000	0.000140000
1.210000000	0.000020000
1.220000000	0.000140000
1.230000000	0.000110000
1.240000000	0.000140000
1.250000000	0.000260000
1.260000000	0.000120000
1.270000000	0.000030000
1.280000000	0.000170000
1.290000000	0.000090000
1.300000000	0.000050000
1.310000000	0.000210000
1.320000000	0.000130000
1.330000000	0.000170000
1.340000000	0.000200000
1.350000000	0.000070000
1.360000000	0.000110000
1.370000000	0.000130000
1.380000000	0.000110000
1.390000000	0.000140000
1.400000000	0.000170000
1.410000000	0.000140000
1.420000000	0.000110000
1.430000000	0.000150000
1.440000000	0.000140000
1.450000000	0.000060000
1.460000000	0.000140000
1.470000000	0.000140000
1.480000000	0.000100000
1.490000000	0.000120000
1.500000000	0.000070000
1.510000000	0.000150000
1.520000000	0.000110000
1.530000000	0.000130000
1.540000000	0.000280000
1.550000000	0.000090000
1.560000000	0.000070000
1.570000000	0.000150000
1.580000000	0.000070000
1.590000000	0.000150000
1.600000000	0.000190000
1.610000000	0.000110000
1.620000000	0.000160000
1.630000000	0.000160000
1.640000000	0.000070000
1.650000000	0.000150000
1.660000000	0.000120000
1.670000000	0.000060000
1.680000000	0.000110000
1.690000000	0.000170000
1.700000000	0.000140000
1.710000000	0.000100000
1.720000000	0.000170000
1.730000000	0.000090000
1.740000000	0.000070000
1.750000000	0.000140000
1.760000000	0.000080000
