t(s)	a(g)
0.000000000	0.000000000
0.010000000	0.000073569
0.020000000	0.000080926
0.030000000	0.000080926
0.040000000	0.000125068
0.050000000	0.000036785
0.060000000	0.000132424
0.070000000	0.000125068
0.080000000	0.000051498
0.090000000	0.000088283
0.100000000	0.000051498
0.110000000	0.000161852
0.120000000	0.000110354
0.130000000	0.000080926
0.140000000	0.000080926
0.150000000	0.000014714
0.160000000	0.000161852
0.170000000	0.000125068
0.180000000	0.000110354
0.190000000	0.000051498
0.200000000	-0.000007357
0.210000000	0.000169209
0.220000000	0.000147138
0.230000000	0.000125068
0.240000000	0.000044141
0.250000000	0.000007357
0.260000000	0.000117711
0.270000000	0.000080926
0.280000000	0.000161852
0.290000000	0.000058855
0.300000000	0.000014714
0.310000000	0.000147138
0.320000000	0.000080926
0.330000000	0.000117711
0.340000000	0.000066212
0.350000000	0.000051498
0.360000000	0.000095640
0.370000000	0.000102997
0.380000000	0.000139781
0.390000000	0.000051498
0.400000000	0.000058855
0.410000000	0.000080926
0.420000000	0.000125068
0.430000000	0.000132424
0.440000000	0.000066212
0.450000000	0.000066212
0.460000000	0.000036785
0.470000000	0.000132424
0.480000000	0.000125068
0.490000000	0.000066212
0.500000000	0.000073569
0.510000000	0.000080926
0.520000000	0.000139781
0.530000000	0.000073569
0.540000000	0.000073569
0.550000000	0.000058855
0.560000000	0.000073569
0.570000000	0.000169209
0.580000000	0.000066212
0.590000000	0.000051498
0.600000000	0.000095640
0.610000000	0.000102997
0.620000000	0.000110354
0.630000000	0.000044141
0.640000000	0.000102997
0.650000000	0.000117711
0.660000000	0.000073569
0.670000000	0.000117711
0.680000000	0.000088283
0.690000000	0.000073569
0.700000000	0.000073569
0.710000000	0.000044141
0.720000000	0.000088283
0.730000000	0.000125068
0.740000000	0.000147138
0.750000000	0.000066212
0.760000000	0.000007357
0.770000000	0.000066212
0.780000000	0.000095640
0.790000000	0.000139781
0.800000000	0.000102997
0.810000000	0.000051498
0.820000000	0.000036785
0.830000000	0.000036785
0.840000000	0.000125068
0.850000000	0.000102997
0.860000000	0.000110354
0.870000000	0.000036785
0.880000000	-0.000007357
0.890000000	0.000117711
0.900000000	0.000080926
0.910000000	0.000132424
0.920000000	0.000080926
0.930000000	0.000022071
0.940000000	0.000102997
0.950000000	0.000029428
0.960000000	0.000132424
0.970000000	0.000102997
0.980000000	0.000044141
0.990000000	0.000102997
1.000000000	0.000044141
1.010000000	0.000110354
1.020000000	0.000073569
1.030000000	0.000066212
1.040000000	0.000110354
1.050000000	0.000044141
1.060000000	0.000110354
1.070000000	0.000044141
1.080000000	0.000051498
1.090000000	0.000154495
1.100000000	0.000051498
1.110000000	0.000066212
1.120000000	0.000088283
1.130000000	0.000066212
1.140000000	0.000102997
1.150000000	0.000088283
1.160000000	0.000073569
1.170000000	0.000000000
1.180000000	0.000066212
1.190000000	0.000132424
1.200000000	0.000125068
1.210000000	0.000051498
1.220000000	-0.000007357
1.230000000	0.000088283
1.240000000	0.000058855
1.250000000	0.000110354
1.260000000	0.000154495
1.270000000	0.000029428
