t(s)	a(g)
0.00000	0.00023
0.01000	0.00007
0.02000	-0.00023
0.03000	-0.00036
0.04000	-0.00040
0.05000	-0.00029
0.06000	0.00005
0.07000	0.00015
0.08000	-0.00007
0.09000	-0.00024
0.10000	-0.00020
0.11000	-0.00020
0.12000	-0.00034
0.13000	-0.00037
0.14000	-0.00032
0.15000	-0.00021
0.16000	-0.00004
0.17000	0.00011
0.18000	0.00006
0.19000	0.00000
0.20000	0.00012
0.21000	0.00024
0.22000	0.00010
0.23000	-0.00003
0.24000	-0.00013
0.25000	-0.00021
0.26000	-0.00023
0.27000	-0.00005
0.28000	-0.00001
0.29000	-0.00014
0.30000	-0.00014
0.31000	0.00002
0.32000	0.00008
0.33000	0.00007
0.34000	0.00012
0.35000	0.00029
0.36000	0.00032
0.37000	0.00005
0.38000	-0.00016
0.39000	0.00005
0.40000	0.00034
0.41000	0.00021
0.42000	-0.00014
0.43000	-0.00027
0.44000	-0.00024
0.45000	-0.00017
0.46000	-0.00002
0.47000	0.00006
0.48000	0.00001
0.49000	-0.00003
0.50000	0.00006
0.51000	0.00010
0.52000	-0.00013
0.53000	-0.00023
0.54000	-0.00009
0.55000	-0.00002
0.56000	-0.00004
0.57000	0.00000
0.58000	0.00001
0.59000	-0.00001
0.60000	0.00002
0.61000	0.00013
0.62000	0.00016
0.63000	0.00005
0.64000	-0.00025
0.65000	-0.00033
0.66000	-0.00007
0.67000	0.00011
0.68000	-0.00001
0.69000	-0.00022
0.70000	-0.00009
0.71000	0.00004
0.72000	-0.00012
0.73000	-0.00014
0.74000	0.00005
0.75000	0.00022
0.76000	0.00008
0.77000	-0.00018
0.78000	-0.00021
0.79000	0.00002
0.80000	0.00013
0.81000	-0.00008
0.82000	-0.00040
0.83000	-0.00046
0.84000	-0.00037
0.85000	-0.00005
0.86000	0.00040
0.87000	0.00065
0.88000	0.00032
0.89000	-0.00008
0.90000	-0.00013
0.91000	0.00022
0.92000	0.00045
0.93000	0.00028
0.94000	-0.00003
0.95000	-0.00009
0.96000	0.00008
0.97000	0.00028
0.98000	0.00033
0.99000	0.00019
1.00000	-0.00002
1.01000	-0.00003
1.02000	-0.00004
1.03000	-0.00018
1.04000	-0.00033
1.05000	-0.00036
1.06000	-0.00033
1.07000	-0.00024
1.08000	-0.00005
1.09000	0.00015
1.10000	0.00017
1.11000	0.00010
1.12000	0.00013
1.13000	0.00017
1.14000	-0.00001
1.15000	-0.00027
1.16000	-0.00030
1.17000	-0.00006
1.18000	0.00013
1.19000	0.00005
1.20000	-0.00018
1.21000	-0.00019
1.22000	-0.00004
1.23000	0.00004
1.24000	-0.00001
1.25000	-0.00008
1.26000	-0.00018
1.27000	-0.00028
1.28000	-0.00014
1.29000	0.00006
1.30000	0.00007
1.31000	-0.00011
1.32000	-0.00014
1.33000	0.00009
1.34000	0.00022
1.35000	0.00018
1.36000	0.00011
1.37000	0.00007
1.38000	0.00008
1.39000	0.00014
1.40000	0.00019
1.41000	0.00002
1.42000	-0.00026
1.43000	-0.00029
1.44000	-0.00018
1.45000	-0.00012
1.46000	-0.00018
1.47000	-0.00022
1.48000	-0.00018
1.49000	-0.00006
1.50000	0.00004
1.51000	0.00009
1.52000	0.00004
1.53000	-0.00007
1.54000	-0.00014
1.55000	-0.00005
1.56000	0.00010
1.57000	0.00012
1.58000	-0.00001
1.59000	-0.00014
1.60000	-0.00012
1.61000	-0.00001
1.62000	-0.00004
1.63000	-0.00012
1.64000	-0.00017
1.65000	-0.00010
1.66000	0.00004
1.67000	0.00020
1.68000	0.00015
1.69000	-0.00011
1.70000	-0.00034
1.71000	-0.00025
1.72000	-0.00002
1.73000	0.00013
1.74000	0.00012
1.75000	-0.00004
1.76000	-0.00024
1.77000	-0.00028
1.78000	-0.00021
1.79000	-0.00008
1.80000	0.00009
1.81000	0.00006
1.82000	-0.00020
1.83000	-0.00036
1.84000	-0.00048
1.85000	-0.00040
1.86000	-0.00004
1.87000	0.00041
1.88000	0.00049
1.89000	0.00025
1.90000	0.00000
1.91000	-0.00009
1.92000	0.00005
1.93000	0.00022
1.94000	0.00026
1.95000	0.00017
1.96000	0.00007
1.97000	0.00008
1.98000	0.00006
1.99000	0.00001
2.00000	0.00000
2.01000	-0.00001
2.02000	-0.00014
2.03000	-0.00024
2.04000	-0.00038
2.05000	-0.00036
2.06000	-0.00005
2.07000	0.00012
2.08000	0.00002
2.09000	-0.00009
2.10000	-0.00001
2.11000	0.00016
2.12000	0.00015
2.13000	0.00009
2.14000	0.00004
2.15000	0.00000
2.16000	0.00002
2.17000	0.00001
2.18000	-0.00008
2.19000	-0.00015
2.20000	-0.00005
2.21000	0.00013
2.22000	0.00016
2.23000	0.00016
2.24000	0.00002
2.25000	-0.00013
2.26000	-0.00022
2.27000	-0.00036
2.28000	-0.00035
2.29000	-0.00014
2.30000	-0.00004
2.31000	-0.00010
2.32000	-0.00017
2.33000	-0.00003
2.34000	0.00018
2.35000	0.00018
2.36000	-0.00013
2.37000	-0.00037
2.38000	-0.00028
2.39000	0.00003
2.40000	0.00026
2.41000	0.00022
2.42000	-0.00005
2.43000	-0.00021
2.44000	-0.00015
2.45000	-0.00001
2.46000	0.00003
2.47000	-0.00011
2.48000	-0.00014
2.49000	-0.00005
2.50000	-0.00009
2.51000	-0.00030
2.52000	-0.00029
2.53000	0.00000
2.54000	0.00006
2.55000	-0.00011
2.56000	-0.00028
2.57000	-0.00040
2.58000	-0.00037
2.59000	-0.00014
2.60000	0.00002
2.61000	0.00002
2.62000	-0.00003
2.63000	0.00001
2.64000	0.00001
2.65000	-0.00005
2.66000	-0.00006
2.67000	-0.00012
2.68000	-0.00025
2.69000	-0.00024
2.70000	-0.00008
2.71000	0.00016
2.72000	0.00026
2.73000	0.00008
2.74000	-0.00013
2.75000	-0.00005
2.76000	-0.00001
2.77000	-0.00016
2.78000	-0.00018
2.79000	-0.00003
2.80000	0.00005
2.81000	0.00001
2.82000	-0.00010
2.83000	-0.00015
2.84000	-0.00040
2.85000	-0.00058
2.86000	-0.00022
2.87000	0.00034
