t(s)	a(g)
0	0.00000
0.01	0.00002
0.02	0.00002
0.03	0.00002
0.04	0.00002
0.05	0.00002
0.06	0.00002
0.07	0.00002
0.08	0.00003
0.09	0.00002
0.1	0.00002
0.11	0.00002
0.12	0.00003
0.13	0.00002
0.14	0.00003
0.15	0.00002
0.16	0.00002
0.17	0.00002
0.18	0.00002
0.19	0.00002
0.2	0.00001
0.21	0.00001
0.22	0.00003
0.23	0.00002
0.24	0.00002
0.25	0.00007
0.26	0.00002
0.27	-0.00003
0.28	0.00004
0.29	0.00000
0.3	0.00004
0.31	0.00003
0.32	0.00001
0.33	0.00003
0.34	0.00000
0.35	0.00004
0.36	0.00002
0.37	0.00002
0.38	0.00005
0.39	-0.00001
0.4	-0.00009
0.41	0.00001
0.42	0.00008
0.43	0.00005
0.44	0.00002
0.45	-0.00001
0.46	-0.00001
0.47	0.00003
0.48	0.00003
0.49	0.00004
0.5	0.00006
0.51	0.00010
0.52	0.00004
0.53	-0.00001
0.54	0.00004
0.55	-0.00011
0.56	0.00002
0.57	0.00024
0.58	-0.00001
0.59	-0.00001
0.6	0.00015
0.61	0.00005
0.62	0.00005
0.63	0.00000
0.64	0.00007
0.65	0.00005
0.66	0.00004
0.67	0.00002
0.68	-0.00005
0.69	0.00005
0.7	0.00011
0.71	0.00014
0.72	0.00017
0.73	0.00026
0.74	0.00013
0.75	0.00008
0.76	-0.00005
0.77	0.00023
0.78	0.00010
0.79	0.00016
0.8	0.00012
0.81	0.00005
0.82	0.00013
0.83	-0.00007
0.84	-0.00008
0.85	-0.00005
0.86	-0.00005
0.87	0.00011
0.88	0.00000
0.89	0.00016
0.9	0.00021
0.91	-0.00011
0.92	-0.00005
0.93	-0.00030
0.94	-0.00024
0.95	0.00011
0.96	-0.00005
0.97	-0.00019
0.98	-0.00027
0.99	-0.00018
1	0.00016
1.01	0.00020
1.02	0.00006
1.03	-0.00020
1.04	0.00077
1.05	0.00012
1.06	-0.00046
1.07	-0.00006
1.08	-0.00041
1.09	0.00000
1.1	0.00024
1.11	0.00009
1.12	0.00022
1.13	0.00014
1.14	-0.00026
1.15	0.00001
1.16	-0.00022
1.17	-0.00068
1.18	-0.00031
1.19	0.00031
1.2	-0.00004
1.21	0.00018
1.22	-0.00002
1.23	0.00034
1.24	-0.00009
1.25	-0.00033
1.26	-0.00037
1.27	-0.00011
1.28	0.00025
1.29	0.00031
1.3	0.00000
1.31	0.00030
1.32	0.00003
1.33	-0.00006
1.34	0.00002
1.35	0.00028
1.36	-0.00033
1.37	0.00038
1.38	-0.00044
1.39	-0.00022
1.4	-0.00025
1.41	0.00025
1.42	-0.00019
1.43	-0.00040
1.44	-0.00025
1.45	-0.00061
1.46	0.00041
1.47	0.00048
1.48	-0.00122
1.49	-0.00129
1.5	0.00012
1.51	0.00080
1.52	-0.00006
1.53	0.00004
1.54	0.00043
1.55	-0.00044
1.56	-0.00126
1.57	-0.00008
1.58	-0.00108
1.59	-0.00063
1.6	-0.00095
1.61	0.00017
1.62	-0.00059
1.63	-0.00033
1.64	0.00099
1.65	0.00098
1.66	0.00059
1.67	-0.00032
1.68	-0.00052
1.69	-0.00011
1.7	0.00005
1.71	-0.00018
1.72	0.00027
1.73	0.00014
1.74	0.00052
1.75	0.00019
1.76	-0.00026
1.77	-0.00011
1.78	-0.00097
1.79	0.00000
1.8	0.00014
1.81	-0.00002
1.82	0.00042
1.83	0.00026
1.84	0.00013
1.85	0.00019
1.86	0.00016
1.87	-0.00118
1.88	0.00031
1.89	0.00061
1.9	-0.00026
1.91	-0.00025
1.92	-0.00075
1.93	-0.00023
1.94	0.00070
1.95	0.00032
1.96	-0.00070
1.97	-0.00016
1.98	-0.00025
1.99	0.00168
2	0.00046
2.01	-0.00086
2.02	0.00032
2.03	0.00010
2.04	0.00044
2.05	-0.00057
2.06	0.00151
2.07	0.00084
2.08	-0.00017
2.09	0.00049
2.1	-0.00054
2.11	-0.00113
2.12	-0.00070
2.13	-0.00125
2.14	-0.00080
2.15	0.00009
2.16	-0.00014
2.17	0.00119
2.18	-0.00067
2.19	-0.00198
2.2	0.00089
2.21	-0.00111
2.22	-0.00158
2.23	-0.00101
2.24	-0.00030
2.25	-0.00061
2.26	0.00016
2.27	-0.00061
2.28	-0.00035
2.29	0.00034
2.3	0.00102
2.31	-0.00151
2.32	-0.00127
2.33	-0.00155
2.34	-0.00056
2.35	-0.00057
2.36	-0.00145
2.37	-0.00006
2.38	-0.00006
2.39	-0.00060
2.4	-0.00027
2.41	0.00030
2.42	-0.00023
2.43	0.00133
2.44	-0.00089
2.45	-0.00074
2.46	-0.00013
2.47	0.00010
2.48	-0.00021
2.49	0.00019
2.5	0.00151
2.51	0.00003
2.52	0.00036
2.53	0.00037
2.54	-0.00076
2.55	0.00066
2.56	0.00050
2.57	0.00053
2.58	0.00005
2.59	-0.00012
2.6	0.00055
2.61	0.00161
2.62	0.00100
2.63	-0.00100
2.64	-0.00069
2.65	-0.00032
2.66	0.00046
2.67	-0.00053
2.68	-0.00016
2.69	0.00146
2.7	0.00061
2.71	-0.00074
2.72	0.00041
2.73	0.00057
2.74	0.00034
2.75	-0.00075
2.76	-0.00043
2.77	-0.00047
2.78	-0.00012
2.79	-0.00022
2.8	-0.00093
2.81	-0.00020
2.82	-0.00012
2.83	0.00101
2.84	0.00071
2.85	-0.00041
2.86	-0.00057
2.87	0.00241
2.88	0.00096
2.89	-0.00046
2.9	0.00047
2.91	0.00031
2.92	-0.00055
2.93	0.00029
2.94	-0.00014
2.95	-0.00005
2.96	-0.00121
2.97	-0.00095
2.98	-0.00156
2.99	-0.00226
3	-0.00116
3.01	0.00007
3.02	-0.00117
3.03	-0.00156
3.04	-0.00091
3.05	0.00107
3.06	0.00090
3.07	0.00112
3.08	-0.00036
3.09	0.00040
3.1	0.00002
3.11	-0.00019
3.12	0.00038
3.13	-0.00281
3.14	-0.00011
3.15	0.00136
3.16	-0.00060
3.17	0.00154
3.18	0.00112
3.19	-0.00048
3.2	-0.00115
3.21	-0.00141
3.22	0.00082
3.23	0.00051
3.24	0.00077
3.25	0.00097
3.26	0.00067
3.27	0.00040
3.28	0.00075
3.29	0.00088
3.3	0.00056
3.31	-0.00015
3.32	0.00067
3.33	0.00153
3.34	0.00134
3.35	-0.00009
3.36	-0.00014
3.37	-0.00005
3.38	0.00027
3.39	-0.00075
3.4	0.00055
3.41	0.00054
3.42	0.00033
3.43	0.00129
3.44	-0.00027
3.45	0.00097
3.46	0.00132
3.47	-0.00014
3.48	0.00065
3.49	-0.00071
3.5	0.00038
3.51	-0.00038
3.52	-0.00170
3.53	0.00074
3.54	0.00240
3.55	0.00053
3.56	-0.00021
3.57	0.00047
3.58	0.00151
3.59	0.00140
3.6	0.00023
3.61	-0.00032
3.62	-0.00173
3.63	-0.00061
3.64	-0.00048
3.65	0.00032
3.66	-0.00039
3.67	0.00029
3.68	0.00053
3.69	-0.00014
3.7	-0.00029
3.71	0.00153
3.72	0.00024
3.73	-0.00023
3.74	0.00047
3.75	0.00032
3.76	-0.00014
3.77	0.00044
3.78	0.00068
3.79	-0.00086
3.8	-0.00052
3.81	-0.00122
3.82	0.00024
3.83	0.00022
3.84	-0.00028
3.85	-0.00064
3.86	0.00257
3.87	0.00223
3.88	0.00096
3.89	0.00113
3.9	0.00069
3.91	-0.00041
3.92	-0.00104
3.93	-0.00005
3.94	0.00069
3.95	0.00060
