,Location,Type,P0,P1,Length,loc_id,idx,L
0,E05/E06,‘§÷∆¡∫AA,"(573173.8929727118, 785131.2682898345)","(573218.0480546899, 785125.3793161248)",44.54605792,1,0,45
1,E05/E06,‘§÷∆¡∫AA,"(573173.4349221735, 785128.1514881279)","(573217.6316257608, 785122.2569633343)",44.58804807,1,1,45
2,E05/E06,‘§÷∆¡∫AA,"(573172.9768716352, 785125.0346864219)","(573217.215196832, 785119.1346105441)",44.63003822,1,2,45
3,E05/E06,‘§÷∆¡∫AA,"(573172.5188210967, 785121.9178847156)","(573216.7987679031, 785116.0122577539)",44.67202837,1,3,45
4,E05/E06,‘§÷∆¡∫AA,"(573172.0607705583, 785118.801083009)","(573216.3823389742, 785112.8899049636)",44.71401853,1,4,45
5,E05/E06,‘§÷∆¡∫AA,"(573171.6027200199, 785115.6842813025)","(573215.9659100451, 785109.7675521732)",44.75600868,1,5,45
6,E05/E06,‘§÷∆¡∫AA,"(573171.1446694816, 785112.5674795962)","(573215.549481116, 785106.6451993827)",44.79799883,1,6,45
7,E06/E07,‘§÷∆¡∫MM,"(573218.5436662439, 785125.3132162949)","(573262.6530945514, 785119.4303314257)",44.5,2,0,45
8,E06/E07,‘§÷∆¡∫MM,"(573218.1272373148, 785122.1908635043)","(573262.2366656224, 785116.3079786352)",44.5,2,1,45
9,E06/E07,‘§÷∆¡∫MM,"(573217.710808386, 785119.0685107141)","(573261.8202366936, 785113.1856258449)",44.5,2,2,45
10,E06/E07,‘§÷∆¡∫MM,"(573217.294379457, 785115.946157924)","(573261.4038077646, 785110.0632730545)",44.5,2,3,45
11,E06/E07,‘§÷∆¡∫MM,"(573216.8779505282, 785112.8238051335)","(573260.9873788357, 785106.9409202643)",44.5,2,4,45
12,E06/E07,‘§÷∆¡∫MM,"(573216.4615215991, 785109.7014523434)","(573260.5709499067, 785103.8185674743)",44.5,2,5,45
13,E06/E07,‘§÷∆¡∫MM,"(573216.04509267, 785106.5790995527)","(573260.1545209778, 785100.6962146835)",44.5,2,6,45
14,E07/E08,‘§÷∆¡∫MM,"(573263.1487061055, 785119.3642315947)","(573307.2581344128, 785113.4813467256)",44.5,3,0,45
15,E07/E08,‘§÷∆¡∫MM,"(573262.7322771763, 785116.241878804)","(573306.8417054839, 785110.3589939352)",44.5,3,1,45
16,E07/E08,‘§÷∆¡∫MM,"(573262.3158482474, 785113.1195260141)","(573306.4252765549, 785107.2366411448)",44.5,3,2,45
17,E07/E08,‘§÷∆¡∫MM,"(573261.8994193185, 785109.9971732236)","(573306.008847626, 785104.1142883545)",44.5,3,3,45
18,E07/E08,‘§÷∆¡∫MM,"(573261.4829903896, 785106.8748204333)","(573305.592418697, 785100.9919355644)",44.5,3,4,45
19,E07/E08,‘§÷∆¡∫MM,"(573261.0665614605, 785103.752467643)","(573305.1759897681, 785097.8695827738)",44.5,3,5,45
20,E07/E08,‘§÷∆¡∫MM,"(573260.6501325316, 785100.6301148527)","(573304.7595608392, 785094.7472299836)",44.5,3,6,45
21,E08/E09,‘§÷∆¡∫DE,"(573307.7537459668, 785113.4152468948)","(573352.0316822028, 785107.5098880836)",44.67,4,0,45
22,E08/E09,‘§÷∆¡∫DE,"(573307.3373170377, 785110.2928941045)","(573351.6152532737, 785104.3875352932)",44.67,4,1,45
23,E08/E09,‘§÷∆¡∫DE,"(573306.9208881087, 785107.1705413142)","(573351.1988243448, 785101.2651825029)",44.67,4,2,45
24,E08/E09,‘§÷∆¡∫DE,"(573306.50445918, 785104.0481885239)","(573350.7823954159, 785098.1428297124)",44.67,4,3,45
25,E08/E09,‘§÷∆¡∫DE,"(573306.088030251, 785100.9258357335)","(573350.365966487, 785095.0204769223)",44.67,4,4,45
26,E08/E09,‘§÷∆¡∫DE,"(573305.6716013219, 785097.8034829433)","(573349.9495375579, 785091.898124132)",44.67,4,5,45
27,E08/E09,‘§÷∆¡∫DE,"(573305.2551723929, 785094.6811301529)","(573349.5331086289, 785088.7757713415)",44.67,4,6,45
